A,B
747,1023
736,1023
726,1023
717,1023
708,1023
699,1023
692,1023
685,1023
679,1023
672,1023
664,1023
656,1023
649,1023
645,1023
641,1023
638,1023
636,1023
636,1023
641,1023
642,1023
648,1023
657,1023
664,1023
676,1023
689,1023
702,1023
712,1023
722,1023
729,1023
735,1023
742,1023
748,1023
756,1023
761,1023
780,1023
799,1023
824,1023
851,1023
880,1017
908,999
936,981
956,963
974,948
988,933
996,917
1004,902
1005,888
1006,875
1003,863
1005,848
998,837
996,823
996,815
995,804
994,793
990,782
986,768
985,763
989,756
977,746
973,738
968,729
963,721
954,714
944,707
929,698
914,693
896,687
878,680
860,675
841,669
822,663
806,659
787,652
765,647
739,643
707,639
664,633
616,630
556,623
489,621
423,616
361,612
309,609
267,606
235,604
214,599
205,595
211,591
213,575
229,553
246,519
266,482
288,443
310,405
332,370
355,339
376,308
392,278
406,247
420,216
432,181
441,148
448,116
456,82
462,42
468,15
474,0
476,0
479,0
482,0
482,0
485,0
489,0
493,0
500,1
508,0
518,0
527,0
536,0
539,0
536,5
534,2
519,0
504,0
484,0
464,0
442,0
420,0
396,0
372,0
344,0
315,0
284,0
257,0
221,6
190,0
161,0
135,0
108,0
82,0
53,0
24,1
4,0
0,0
0,1
0,0
0,3
0,14
0,30
1,53
10,76
0,94
0,110
0,129
1,139
0,152
0,163
0,195
0,191
0,205
0,217
0,226
2,236
11,248
28,258
51,267
75,274
94,281
111,292
124,299
139,305
154,314
167,320
181,327
193,333
206,340
218,347
228,351
240,358
250,363
259,369
268,375
279,378
286,383
295,388
297,393
310,397
316,401
324,405
330,408
338,412
344,415
349,420
356,422
369,428
366,424
373,430
378,435
383,437
391,440
388,443
396,444
400,448
404,450
407,452
411,454
416,456
418,458
423,460
425,462
431,462
432,464
433,470
438,468
443,470
454,472
472,472
499,474
528,476
558,476
581,479
608,483
626,479
639,480
642,482
642,483
642,484
633,486
628,486
621,487
614,487
607,495
600,510
593,533
587,559
585,583
586,606
583,612
588,614
596,607
601,601
596,595
604,594
596,601
585,614
572,631
562,652
553,669
548,680
547,687
541,689
541,679
537,664
530,650
524,633
516,615
506,601
500,589
488,590
484,591
475,595
468,599
464,599
462,598
463,592
467,586
464,574
466,568
464,567
459,565
453,569
447,573
441,575
440,574
436,570
437,566
440,562
436,558
444,553
445,548
443,542
438,537
433,531
426,531
416,539
416,537
412,549
410,550
410,551
411,551
413,548
416,543
419,536
429,534
429,530
430,536
434,538
437,538
443,535
453,530
472,527
490,517
510,494
524,479
528,470
536,455
535,451
529,457
521,448
520,446
518,446
516,441
525,436
515,431
516,425
512,420
513,419
514,420
518,423
522,430
526,440
529,454
533,469
532,483
531,500
528,506
529,520
532,527
540,535
554,542
570,552
589,559
610,569
634,577
657,584
682,590
708,595
734,597
760,598
781,596
801,592
808,589
820,578
820,568
817,562
809,554
801,550
795,549
792,549
788,552
787,556
784,563
780,572
774,583
766,594
760,605
753,615
749,623
744,634
742,639
740,649
737,661
736,676
732,695
725,715
718,735
714,755
708,769
706,779
708,786
711,786
716,786
718,776
716,765
716,751
711,739
704,723
696,708
692,692
678,685
666,676
650,670
636,666
618,665
600,663
576,662
564,665
546,667
531,671
517,673
504,675
494,679
486,682
481,687
476,695
472,707
470,721
466,731
462,741
456,745
458,746
447,744
445,735
444,730
441,718
436,704
426,687
411,664
395,644
370,619
348,594
325,568
307,543
290,521
278,498
271,478
268,464
269,455
276,463
287,465
301,480
322,499
346,519
374,537
404,555
437,573
468,590
498,611
522,632
540,654
556,673
567,690
568,702
576,711
582,713
588,711
594,707
599,696
604,682
609,667
608,650
608,631
605,616
601,602
597,589
591,574
584,559
578,553
570,527
564,513
558,495
552,481
548,471
543,457
541,445
536,435
533,424
527,417
532,404
533,397
536,394
540,389
539,386
541,385
542,395
537,394
529,390
520,392
510,395
509,399
493,393
493,384
483,372
481,356
478,333
472,312
465,294
453,280
438,269
427,266
414,265
402,267
392,269
386,272
385,276
393,286
386,297
396,310
401,326
409,341
417,356
425,374
432,373
440,375
447,375
452,376
456,378
457,382
465,390
449,402
444,419
424,435
409,453
397,470
387,484
381,495
381,503
388,508
397,514
408,519
423,529
438,541
458,557
462,568
480,581
484,591
490,599
506,606
511,606
518,605
525,601
530,597
535,593
533,597
530,596
528,602
525,603
523,605
522,605
525,603
530,598
536,592
540,588
546,580
552,574
562,568
560,566
563,562
568,556
571,554
575,547
581,539
592,527
596,509
602,493
611,472
619,454
628,436
634,426
642,419
648,420
648,427
652,438
652,452
645,467
641,481
636,492
636,502
632,508
633,512
634,516
636,518
636,519
634,518
633,513
636,501
639,495
642,479
646,460
650,440
651,421
651,400
652,380
654,362
656,343
662,328
669,315
680,308
685,297
698,294
709,295
715,305
719,322
720,345
716,371
708,398
698,423
687,447
673,465
659,482
649,494
643,507
634,520
634,527
633,541
633,544
633,550
630,564
634,559
622,563
618,564
616,561
613,559
613,559
621,558
631,560
642,565
656,573
673,585
693,598
712,614
732,629
748,644
763,658
772,671
784,681
782,691
784,698
787,703
790,708
795,711
795,712
800,714
799,714
794,715
785,719
776,724
764,734
751,743
735,751
721,759
707,761
694,759
684,757
680,754
664,751
652,752
644,758
634,764
623,770
616,770
612,775
601,773
602,769
605,763
609,754
624,746
619,745
627,739
631,735
634,731
634,727
635,712
625,704
614,693
601,677
585,661
573,641
554,623
542,604
533,584
527,564
524,543
524,521
523,500
524,479
525,459
523,437
522,419
520,403
516,390
514,378
507,370
501,362
493,358
488,352
480,351
478,339
472,333
465,326
452,319
439,314
422,308
404,300
385,292
366,285
350,279
333,274
315,271
309,272
291,278
283,281
281,288
271,288
267,295
266,301
264,308
264,313
262,319
266,324
266,327
267,334
272,339
276,346
282,349
287,358
296,359
305,362
315,360
325,359
339,364
350,371
360,384
369,395
383,413
393,430
404,445
413,456
422,468
433,479
440,481
448,485
457,486
462,487
466,483
466,481
462,479
450,477
437,476
424,471
404,453
388,443
368,435
355,417
339,408
323,404
306,406
288,413
272,430
257,432
245,439
234,447
232,452
227,457
226,460
222,466
217,470
209,470
197,470
185,463
170,455
155,437
146,415
141,401
142,384
152,373
161,365
177,361
199,361
220,363
240,365
258,368
276,369
290,367
301,367
310,366
318,365
323,367
328,372
331,382
335,395
336,410
336,427
336,450
338,466
331,488
328,508
321,529
318,549
313,567
308,582
