A,B
585,574
594,567
603,562
612,553
615,545
620,534
622,523
620,511
618,502
620,486
604,474
592,459
577,446
555,431
539,420
517,410
497,401
478,395
460,391
452,385
441,391
436,395
442,407
436,417
441,426
444,443
454,456
457,471
472,485
467,495
466,503
464,509
459,512
456,525
440,526
429,522
419,521
410,519
402,514
400,510
403,502
408,495
414,485
421,483
428,485
435,485
448,487
456,491
466,496
478,505
493,514
505,527
516,540
530,555
537,576
544,597
548,618
554,639
556,655
558,667
559,679
556,671
552,664
541,651
526,632
509,607
488,582
471,555
452,525
438,499
428,473
423,451
424,433
424,419
426,410
432,406
439,406
446,410
456,416
467,424
482,432
497,437
512,444
529,448
549,451
562,458
578,460
592,466
598,467
609,466
603,465
598,460
588,452
581,445
572,436
564,430
558,426
554,424
548,426
544,430
538,435
532,441
518,446
506,450
496,454
488,457
478,456
476,454
483,455
482,451
492,452
506,454
520,457
534,461
543,472
552,481
562,482
563,488
566,495
574,501
578,507
584,514
588,518
589,522
588,521
588,523
584,520
577,516
569,512
557,507
543,502
526,497
510,492
496,494
477,490
463,492
452,497
447,506
444,518
446,526
452,545
469,560
468,568
477,575
486,575
494,572
499,566
505,555
508,542
510,527
508,510
504,493
499,477
494,461
491,447
488,435
491,427
492,421
497,422
501,425
504,434
508,446
510,461
513,471
518,495
528,513
538,529
545,553
560,567
571,586
576,600
578,604
573,618
565,622
552,622
537,617
522,610
511,595
506,582
504,566
508,551
516,533
524,520
541,512
538,498
543,491
546,485
543,484
542,487
539,491
538,497
538,507
537,518
538,527
536,538
532,547
532,552
520,556
523,557
517,557
509,551
504,547
501,539
487,534
483,527
477,518
472,509
470,497
469,487
464,479
460,470
458,466
456,466
456,467
453,474
459,477
463,483
473,494
483,506
496,518
509,532
521,550
530,562
539,575
542,586
542,591
539,593
532,590
530,580
520,567
507,553
498,538
484,523
472,509
465,497
455,491
451,484
450,479
452,475
458,473
473,471
484,473
499,476
520,484
525,492
544,505
556,515
566,528
572,539
570,551
580,561
583,558
587,559
587,559
584,554
573,548
564,535
550,523
533,508
515,492
499,475
482,457
469,442
457,427
446,417
438,402
434,395
427,387
427,388
432,392
438,402
447,413
460,431
475,447
497,465
503,482
515,499
524,515
532,531
540,547
545,562
551,573
553,583
551,589
548,591
544,591
541,585
536,577
530,566
524,551
517,534
510,516
502,498
492,479
484,471
477,463
472,461
466,460
462,463
460,470
460,474
460,478
460,483
462,488
466,493
469,499
474,504
480,508
488,512
491,521
496,513
498,513
499,511
498,511
489,510
499,512
489,506
484,511
487,516
496,527
508,535
518,547
532,556
543,564
554,570
562,574
569,575
579,573
587,566
592,557
597,547
596,539
595,532
589,527
578,523
566,520
551,523
535,522
520,520
507,516
497,512
489,503
489,499
490,492
490,487
490,485
497,485
499,487
499,491
500,498
500,506
501,513
504,521
508,528
512,535
518,542
523,546
526,549
527,557
526,551
522,551
516,548
512,548
508,539
501,533
494,529
484,526
472,523
460,522
450,523
443,525
442,530
449,537
461,542
476,549
493,558
512,566
529,575
545,585
561,594
572,602
584,607
586,613
586,620
584,617
579,615
571,607
564,595
553,578
541,557
530,531
517,513
502,495
491,479
477,466
470,458
463,453
457,449
455,445
451,444
449,442
451,445
455,442
456,444
464,447
475,453
488,466
500,480
510,499
517,521
522,543
526,562
525,567
524,586
520,590
516,586
512,579
517,566
502,553
502,538
490,524
478,511
466,497
461,483
465,468
452,455
451,444
450,438
452,432
452,433
453,434
456,438
464,442
472,447
487,454
504,459
522,466
539,474
553,486
562,482
569,481
569,476
565,464
560,452
560,434
541,421
532,413
522,405
514,401
507,399
500,398
495,403
493,407
498,412
504,422
514,431
528,444
540,458
556,481
568,491
576,510
586,529
595,546
593,572
590,570
586,587
576,594
563,597
547,594
530,591
509,583
489,575
468,565
450,551
436,538
424,525
414,513
410,495
417,489
414,473
416,461
432,449
443,441
459,439
478,445
499,456
521,475
547,501
568,527
601,551
616,586
632,603
641,624
648,645
646,655
641,671
