,Unnamed: 0,A,B
5586,5586,484,499
5587,5587,481,501
5588,5588,482,502
5589,5589,482,503
5590,5590,484,511
5591,5591,486,506
5592,5592,491,508
5593,5593,498,507
5594,5594,506,509
5595,5595,511,509
5596,5596,520,516
5597,5597,526,517
5598,5598,533,519
5599,5599,537,520
5600,5600,544,522
5601,5601,547,522
5602,5602,548,519
5603,5603,546,516
5604,5604,542,512
5605,5605,540,508
5606,5606,536,500
5607,5607,538,501
5608,5608,530,491
5609,5609,532,491
5610,5610,531,489
5611,5611,534,487
5612,5612,537,492
5613,5613,541,495
5614,5614,545,495
5615,5615,550,497
5616,5616,554,498
5617,5617,560,501
5618,5618,561,506
5619,5619,562,508
5620,5620,566,515
5621,5621,564,518
5622,5622,560,523
5623,5623,557,523
5624,5624,549,529
5625,5625,545,525
5626,5626,541,527
5627,5627,530,529
5628,5628,528,527
5629,5629,520,527
5630,5630,513,528
5631,5631,506,530
5632,5632,501,529
5633,5633,498,530
5634,5634,496,533
5635,5635,499,523
5636,5636,499,518
5637,5637,502,513
5638,5638,500,505
5639,5639,505,499
5640,5640,507,501
5641,5641,511,502
5642,5642,516,502
5643,5643,521,506
5644,5644,526,509
5645,5645,529,512
5646,5646,530,512
5647,5647,534,516
5648,5648,528,512
5649,5649,522,511
5650,5650,516,510
5651,5651,508,506
5652,5652,501,507
5653,5653,494,504
5654,5654,492,503
5655,5655,485,503
5656,5656,483,508
5657,5657,478,500
5658,5658,475,503
5659,5659,470,495
5660,5660,470,495
5661,5661,470,495
5662,5662,470,493
5663,5663,471,498
5664,5664,472,499
5665,5665,474,503
5666,5666,473,505
5667,5667,473,506
5668,5668,472,505
5669,5669,473,505
5670,5670,474,502
5671,5671,476,502
5672,5672,476,503
5673,5673,481,501
5674,5674,486,503
5675,5675,491,503
5676,5676,497,503
5677,5677,501,503
5678,5678,506,503
5679,5679,509,495
5680,5680,508,499
5681,5681,508,497
5682,5682,505,499
5683,5683,502,500
5684,5684,501,499
5685,5685,498,493
5686,5686,496,497
5687,5687,495,494
5688,5688,496,490
5689,5689,496,487
5690,5690,496,482
5691,5691,498,479
5692,5692,498,478
5693,5693,496,479
5694,5694,494,477
5695,5695,496,479
5696,5696,494,482
5697,5697,497,484
5698,5698,497,487
5699,5699,501,493
5700,5700,508,498
5701,5701,513,504
5702,5702,520,508
5703,5703,524,516
5704,5704,530,518
5705,5705,532,521
5706,5706,534,523
5707,5707,532,524
5708,5708,532,527
5709,5709,541,527
5710,5710,532,530
5711,5711,529,530
5712,5712,530,530
5713,5713,530,526
5714,5714,530,522
5715,5715,529,515
5716,5716,533,508
5717,5717,521,502
5718,5718,515,495
5719,5719,511,491
5720,5720,505,487
5721,5721,504,486
5722,5722,501,488
5723,5723,504,494
5724,5724,501,500
5725,5725,501,508
5726,5726,504,512
5727,5727,505,518
5728,5728,503,518
5729,5729,507,518
5730,5730,508,516
5731,5731,508,513
5732,5732,510,512
5733,5733,510,508
5734,5734,513,509
5735,5735,514,508
5736,5736,517,510
5737,5737,518,511
5738,5738,520,514
5739,5739,520,513
5740,5740,522,515
5741,5741,521,512
5742,5742,522,510
5743,5743,524,508
5744,5744,524,506
5745,5745,523,507
5746,5746,519,504
5747,5747,523,508
5748,5748,524,511
5749,5749,526,515
5750,5750,530,516
5751,5751,540,520
5752,5752,541,521
5753,5753,548,525
5754,5754,550,527
5755,5755,559,532
5756,5756,549,533
5757,5757,546,533
5758,5758,540,530
5759,5759,541,535
5760,5760,534,527
5761,5761,530,524
5762,5762,532,522
5763,5763,530,516
5764,5764,531,509
5765,5765,533,510
5766,5766,532,508
5767,5767,530,507
5768,5768,529,510
5769,5769,524,513
5770,5770,524,515
5771,5771,520,519
5772,5772,520,524
5773,5773,519,530
5774,5774,516,533
5775,5775,516,537
5776,5776,510,535
5777,5777,512,540
5778,5778,510,539
5779,5779,510,543
5780,5780,509,541
5781,5781,508,543
5782,5782,505,543
5783,5783,505,542
5784,5784,496,537
5785,5785,492,531
5786,5786,485,533
5787,5787,476,516
5788,5788,470,509
5789,5789,464,498
5790,5790,461,493
5791,5791,456,489
5792,5792,455,495
5793,5793,452,491
5794,5794,454,493
5795,5795,457,494
5796,5796,458,501
5797,5797,464,500
5798,5798,462,506
5799,5799,473,507
5800,5800,480,511
5801,5801,489,512
5802,5802,498,512
5803,5803,508,512
5804,5804,514,519
5805,5805,518,513
5806,5806,520,510
5807,5807,525,510
5808,5808,527,507
5809,5809,529,506
5810,5810,527,502
5811,5811,525,503
5812,5812,522,505
5813,5813,518,507
5814,5814,513,510
5815,5815,516,518
5816,5816,507,521
5817,5817,508,527
5818,5818,508,532
5819,5819,511,534
5820,5820,517,539
5821,5821,527,542
5822,5822,529,543
5823,5823,534,545
5824,5824,540,549
5825,5825,544,552
5826,5826,549,557
5827,5827,551,559
5828,5828,550,562
5829,5829,555,558
5830,5830,544,557
5831,5831,538,551
5832,5832,528,541
5833,5833,522,532
5834,5834,513,516
5835,5835,504,503
5836,5836,500,487
5837,5837,497,475
5838,5838,493,464
5839,5839,491,457
5840,5840,490,454
5841,5841,491,453
5842,5842,492,457
5843,5843,492,463
5844,5844,492,470
5845,5845,492,479
5846,5846,490,486
5847,5847,487,490
5848,5848,484,494
5849,5849,485,495
5850,5850,480,495
5851,5851,476,495
5852,5852,478,494
5853,5853,478,491
5854,5854,482,491
5855,5855,485,492
5856,5856,486,495
5857,5857,487,497
5858,5858,486,500
5859,5859,490,505
5860,5860,490,505
5861,5861,493,507
5862,5862,494,506
5863,5863,500,510
5864,5864,502,510
5865,5865,505,515
5866,5866,505,515
5867,5867,508,518
5868,5868,505,518
5869,5869,505,516
5870,5870,502,515
5871,5871,500,512
5872,5872,504,507
5873,5873,497,503
5874,5874,496,500
5875,5875,492,496
5876,5876,493,489
5877,5877,490,486
5878,5878,491,483
5879,5879,486,480
5880,5880,484,482
5881,5881,478,482
5882,5882,472,484
5883,5883,466,487
5884,5884,467,490
5885,5885,466,494
5886,5886,466,497
5887,5887,467,499
5888,5888,470,497
5889,5889,472,502
5890,5890,472,501
5891,5891,474,501
5892,5892,473,495
5893,5893,473,495
5894,5894,473,491
5895,5895,476,487
5896,5896,474,483
5897,5897,476,482
5898,5898,481,479
5899,5899,478,481
5900,5900,480,483
5901,5901,480,485
5902,5902,484,490
5903,5903,485,490
5904,5904,490,493
5905,5905,494,499
5906,5906,502,499
5907,5907,510,502
5908,5908,522,508
5909,5909,536,515
5910,5910,543,518
5911,5911,552,523
5912,5912,563,527
5913,5913,568,531
5914,5914,572,532
5915,5915,575,535
5916,5916,574,533
5917,5917,573,534
5918,5918,568,531
5919,5919,566,531
5920,5920,561,527
5921,5921,560,526
5922,5922,557,522
5923,5923,556,523
5924,5924,555,522
5925,5925,555,523
5926,5926,552,528
5927,5927,549,532
5928,5928,544,540
5929,5929,539,545
5930,5930,531,559
5931,5931,525,557
5932,5932,520,563
5933,5933,514,569
5934,5934,521,578
5935,5935,517,585
5936,5936,525,594
5937,5937,533,609
5938,5938,542,607
5939,5939,545,606
5940,5940,549,599
5941,5941,547,595
5942,5942,544,584
5943,5943,539,570
5944,5944,532,554
5945,5945,526,539
5946,5946,518,526
5947,5947,510,513
5948,5948,501,501
5949,5949,498,496
5950,5950,491,491
5951,5951,488,490
5952,5952,480,489
5953,5953,475,492
5954,5954,472,491
5955,5955,464,491
5956,5956,460,492
5957,5957,456,499
5958,5958,456,497
5959,5959,456,490
5960,5960,461,490
5961,5961,464,487
5962,5962,472,485
5963,5963,476,479
5964,5964,482,477
5965,5965,485,470
5966,5966,488,469
5967,5967,492,464
5968,5968,497,463
5969,5969,498,460
5970,5970,510,461
5971,5971,506,454
5972,5972,510,459
5973,5973,513,461
5974,5974,516,462
5975,5975,518,465
5976,5976,522,468
5977,5977,528,463
5978,5978,529,460
5979,5979,535,459
5980,5980,540,457
5981,5981,544,459
5982,5982,547,459
5983,5983,552,464
5984,5984,556,470
5985,5985,559,477
5986,5986,563,483
5987,5987,564,490
5988,5988,569,493
5989,5989,569,493
5990,5990,569,491
5991,5991,562,487
5992,5992,560,484
5993,5993,552,478
5994,5994,546,477
5995,5995,538,479
5996,5996,531,475
5997,5997,525,479
5998,5998,522,487
5999,5999,514,498
6000,6000,518,509
6001,6001,518,522
6002,6002,517,531
6003,6003,518,541
6004,6004,517,544
6005,6005,520,550
6006,6006,517,554
6007,6007,518,559
6008,6008,516,565
6009,6009,513,569
6010,6010,510,573
6011,6011,505,575
6012,6012,504,575
6013,6013,504,573
6014,6014,506,575
6015,6015,508,567
6016,6016,508,567
6017,6017,512,561
6018,6018,518,562
6019,6019,522,560
6020,6020,527,559
6021,6021,534,554
6022,6022,532,555
6023,6023,531,551
6024,6024,530,547
6025,6025,526,542
6026,6026,522,540
6027,6027,518,538
6028,6028,517,533
6029,6029,518,529
6030,6030,516,525
6031,6031,518,521
6032,6032,520,515
6033,6033,519,512
6034,6034,519,508
6035,6035,519,508
6036,6036,518,509
6037,6037,516,511
6038,6038,512,512
6039,6039,508,515
6040,6040,507,514
6041,6041,503,512
6042,6042,501,510
6043,6043,498,505
6044,6044,496,503
6045,6045,494,498
6046,6046,494,494
6047,6047,492,488
6048,6048,495,488
6049,6049,492,481
6050,6050,492,479
6051,6051,492,478
