A,B
504,461
504,465
504,468
504,467
507,463
510,459
513,453
519,445
523,445
524,428
523,419
523,409
523,399
526,384
528,372
533,362
536,354
538,351
539,346
536,355
533,359
528,366
525,374
521,381
519,386
512,393
516,387
518,392
517,391
517,388
516,390
514,391
512,396
510,402
510,408
510,419
515,428
520,438
526,448
527,461
530,471
532,485
530,494
530,502
528,513
519,511
511,515
497,518
488,519
477,522
464,527
454,522
446,521
436,521
432,523
424,527
422,531
420,535
421,538
422,542
423,548
422,544
428,554
426,558
430,562
438,563
444,561
453,566
460,564
467,562
474,556
480,549
488,538
498,526
500,514
506,503
512,497
518,492
524,490
530,495
536,490
540,492
545,495
543,499
543,507
542,513
539,519
537,522
533,525
530,523
525,522
524,520
522,521
521,524
522,529
520,538
528,538
532,540
536,541
536,540
535,538
532,535
528,531
529,533
516,527
511,524
505,521
497,520
492,517
489,516
487,517
486,516
491,513
497,518
505,518
509,525
513,530
516,540
514,551
514,561
512,571
509,577
509,580
509,578
508,574
506,562
507,558
503,551
499,547
492,543
487,547
479,549
474,551
472,550
472,547
477,541
485,535
495,527
504,517
514,507
522,501
526,490
529,487
532,483
536,479
541,475
546,470
552,465
554,461
559,455
558,454
555,452
549,452
544,454
538,456
536,457
534,455
535,452
537,449
543,438
548,428
553,421
558,414
558,411
558,401
560,396
553,392
550,386
546,378
543,368
540,359
539,346
536,340
535,332
531,331
528,335
522,343
518,358
514,377
511,398
510,420
512,443
514,466
516,487
518,504
514,523
508,539
504,556
496,573
488,588
483,604
481,617
480,627
480,624
487,629
485,627
488,623
492,616
496,610
500,602
502,597
504,590
507,589
508,588
511,590
512,594
516,599
517,602
518,604
516,602
512,598
505,599
499,588
490,580
482,577
472,575
464,574
460,574
459,575
457,570
458,571
468,575
458,576
459,583
453,591
445,603
438,611
429,617
421,619
413,623
410,611
407,603
410,594
417,580
427,568
441,555
457,544
474,535
486,528
497,524
503,519
485,322
494,321
505,322
514,320
523,326
533,327
537,327
541,325
541,326
543,326
536,330
534,332
531,336
525,342
520,350
516,367
514,373
517,384
520,400
522,415
524,435
523,449
526,466
524,486
524,503
522,523
524,539
524,554
528,566
529,574
529,582
529,586
529,591
530,595
530,599
532,602
534,604
533,606
532,607
528,611
524,614
518,611
512,619
508,619
502,619
498,617
496,619
496,619
499,618
505,621
502,613
503,609
502,604
499,602
492,603
486,606
478,613
471,618
466,621
462,619
464,619
463,615
464,607
465,598
463,587
461,571
457,568
456,562
444,555
438,548
433,542
431,535
432,526
433,518
438,512
439,505
446,503
445,503
453,504
450,512
446,518
448,523
447,527
446,526
444,521
441,516
439,507
433,498
428,489
420,481
414,478
403,476
393,482
383,490
373,503
363,513
358,522
357,527
362,529
370,527
383,524
401,519
420,512
443,508
455,500
468,498
481,493
491,492
498,494
505,497
508,502
511,509
518,517
522,521
527,522
536,526
543,526
552,526
557,523
562,519
568,512
568,503
568,496
567,485
565,474
567,465
564,457
564,448
566,451
571,451
574,454
579,459
581,462
584,459
588,463
589,460
590,454
592,451
594,443
591,440
604,431
601,429
603,426
604,425
606,422
608,422
604,424
599,424
592,426
583,427
573,427
568,432
560,430
559,434
555,435
556,438
558,440
561,442
557,450
556,455
556,458
553,464
553,467
552,471
552,474
550,477
550,479
547,482
542,482
537,482
530,485
524,479
517,475
513,469
510,473
510,462
512,461
523,463
531,465
543,470
550,476
559,480
568,488
560,501
562,512
557,523
551,534
541,547
534,559
525,572
516,582
507,589
500,591
492,591
485,585
474,574
466,561
457,550
447,535
437,527
428,520
420,517
415,513
408,510
413,507
401,500
395,494
390,488
383,482
376,476
371,468
364,460
359,452
355,443
348,436
340,428
332,422
323,418
312,417
313,417
295,415
290,416
287,414
291,411
296,404
305,396
314,390
323,386
334,387
344,392
355,400
365,413
378,426
391,441
408,450
424,460
445,470
464,479
486,487
508,495
530,502
556,507
563,512
573,514
579,513
579,513
577,512
574,517
570,527
564,541
560,562
555,583
548,603
544,615
549,630
541,636
546,636
554,631
564,631
575,615
588,607
599,604
610,603
620,608
629,619
641,635
650,652
660,671
666,691
673,708
679,718
678,730
674,734
669,734
662,731
655,725
644,717
640,707
635,695
632,690
