A,B
491,527
487,533
495,533
489,531
492,525
496,512
502,504
509,494
517,487
528,483
541,479
550,484
560,487
570,490
579,491
584,489
585,486
580,479
574,474
568,467
560,465
556,463
549,466
543,468
538,471
531,474
524,476
517,478
509,471
498,474
490,475
480,475
474,476
472,478
469,471
471,484
472,487
474,490
478,492
482,495
490,496
496,498
501,499
504,498
507,498
508,499
508,499
507,503
511,507
510,511
510,516
508,522
506,527
501,535
509,543
498,553
499,564
501,574
505,584
510,594
523,607
521,613
525,620
531,625
533,628
533,630
529,630
528,630
525,631
521,629
516,626
512,624
508,617
503,615
498,613
494,611
490,612
490,614
491,616
497,618
505,620
518,621
530,618
548,623
553,621
562,615
568,620
571,615
572,612
571,606
570,596
570,590
572,580
572,575
575,567
575,559
581,552
570,546
563,542
556,529
550,519
546,509
544,495
557,482
550,464
552,448
549,433
549,420
547,409
544,402
541,398
540,396
540,398
540,401
540,407
538,414
535,423
532,431
528,440
521,447
516,445
512,454
506,460
500,463
495,466
491,469
492,475
492,479
495,480
500,488
506,494
511,498
516,503
519,509
523,516
528,524
534,533
537,542
542,551
542,561
540,568
534,576
522,581
516,578
499,577
487,570
476,558
468,546
463,538
459,524
459,513
459,506
454,499
454,494
452,489
449,484
449,480
450,472
452,468
458,471
465,462
475,462
484,466
494,471
502,478
509,487
512,496
512,506
511,511
508,513
503,514
498,509
494,511
490,508
480,498
474,498
464,492
456,491
449,485
444,479
441,476
444,475
449,475
464,480
472,485
488,493
502,504
516,514
532,526
546,535
559,542
572,547
579,549
585,550
585,550
578,544
569,540
556,530
540,519
524,506
508,487
500,468
488,457
488,439
483,428
479,418
474,415
467,409
460,409
456,414
453,419
457,429
465,443
475,459
486,476
498,491
507,506
514,517
517,527
523,534
524,537
525,549
526,542
525,546
526,550
526,553
525,556
524,550
521,555
518,551
515,541
512,533
512,525
509,505
510,493
509,478
508,469
506,461
504,455
500,451
502,451
504,453
502,458
504,461
508,468
510,472
513,477
515,479
514,485
514,494
512,490
507,483
502,483
488,479
476,474
464,470
451,466
440,465
432,465
426,467
421,470
417,477
416,483
417,487
423,495
432,502
447,511
456,527
472,538
490,554
508,569
525,586
544,603
560,618
575,634
587,647
596,660
600,675
600,676
598,675
596,671
589,663
579,650
570,635
563,617
546,604
532,584
517,565
506,549
489,535
484,524
476,512
474,503
475,495
479,491
488,490
498,491
508,498
518,507
528,513
537,535
549,543
563,549
576,557
591,562
607,566
619,567
625,565
627,561
623,556
615,549
606,539
594,531
585,522
574,512
567,504
552,501
541,495
531,494
526,492
516,494
510,496
510,502
512,517
519,525
528,540
536,557
545,575
551,588
560,598
566,602
564,603
561,596
554,583
543,564
526,541
511,519
485,493
460,468
436,446
412,423
394,404
381,386
372,366
371,352
375,344
381,340
393,342
406,350
424,364
441,384
463,409
485,435
509,469
532,486
547,511
568,521
573,535
572,542
566,546
558,543
546,541
532,534
520,526
502,518
492,507
479,495
466,484
453,472
441,463
431,452
422,446
417,443
414,439
415,439
419,443
428,450
441,458
455,465
472,478
487,488
502,495
510,501
525,508
532,512
538,516
541,519
544,521
547,525
543,522
543,523
543,517
532,513
526,506
517,498
509,492
500,488
491,485
483,484
475,483
472,483
465,487
464,487
466,486
472,490
481,488
493,491
505,495
520,509
533,511
546,522
557,530
564,539
566,547
565,549
560,551
555,550
546,545
539,539
537,533
536,526
539,523
544,520
550,523
558,527
562,533
564,535
567,541
565,541
548,536
532,529
515,522
498,510
483,498
472,484
464,475
462,468
466,459
473,451
480,449
488,442
494,441
497,442
500,442
498,443
496,453
493,458
486,463
479,463
474,467
473,474
474,479
478,486
485,495
496,503
503,519
510,531
517,542
520,551
522,554
520,559
518,558
514,554
503,545
495,537
485,529
477,523
468,519
463,518
458,517
456,518
454,517
455,513
457,515
451,513
464,513
469,514
474,516
480,522
485,527
491,535
498,543
504,550
509,559
517,567
524,575
531,583
539,593
554,605
555,610
565,616
575,623
580,627
582,626
584,628
584,627
582,626
571,618
563,615
556,607
548,605
544,597
542,591
544,584
546,574
553,571
550,557
553,550
552,541
554,535
555,527
556,521
556,516
558,511
560,502
565,503
569,502
572,500
574,503
574,500
570,503
564,507
554,502
542,490
528,479
513,468
503,453
498,441
499,427
504,418
514,411
528,407
543,404
556,400
573,398
586,390
595,391
599,388
600,387
595,389
586,394
577,398
565,400
552,402
540,403
527,408
513,407
501,418
486,424
475,439
464,455
455,471
461,486
457,495
446,512
454,525
449,538
455,554
460,571
468,589
477,605
488,619
498,630
508,639
511,647
526,654
533,661
540,667
552,674
561,675
568,670
577,660
578,644
577,621
573,594
566,566
557,535
548,509
537,481
529,458
522,435
514,415
508,398
500,386
492,380
484,377
479,379
478,385
480,392
485,403
493,418
504,432
515,452
527,470
538,487
547,502
551,512
550,517
544,519
533,515
517,508
499,495
477,479
454,460
430,440
404,417
382,391
362,370
344,348
330,329
320,312
314,295
311,284
310,269
309,260
310,256
312,259
315,267
320,282
328,303
346,333
367,367
392,406
420,445
449,484
473,519
493,549
507,572
515,591
516,604
515,607
506,606
494,596
476,578
463,559
446,542
433,532
421,527
418,537
420,555
431,583
446,617
459,662
482,708
505,752
528,796
548,837
570,875
589,907
606,935
618,957
626,972
633,975
636,971
645,958
636,934
629,902
620,861
609,813
589,763
574,709
555,656
536,607
520,563
506,520
491,485
480,459
470,436
461,421
458,415
452,407
453,412
458,420
466,435
480,451
494,471
514,492
536,512
557,531
573,548
588,561
596,572
598,584
597,582
596,567
586,559
579,544
573,526
568,511
565,489
561,469
557,450
552,427
550,410
549,391
552,380
554,371
565,370
571,371
582,379
593,391
604,410
618,430
632,452
646,475
658,495
662,517
666,530
680,543
661,545
656,552
633,542
612,532
589,517
564,501
541,486
519,473
498,466
482,465
466,467
455,473
446,479
450,487
437,492
435,491
445,497
440,498
444,495
448,497
455,499
463,501
469,503
473,503
478,504
473,498
468,488
460,475
451,455
440,431
426,410
412,384
400,364
384,348
371,339
355,331
342,330
333,330
326,333
326,336
331,344
344,356
361,373
385,394
411,418
440,445
465,471
490,502
510,522
526,543
537,558
549,567
556,571
562,571
566,562
566,565
564,546
559,535
548,519
536,499
520,482
503,463
487,444
469,427
465,413
441,397
436,386
433,374
432,367
439,363
450,367
467,375
489,392
510,414
530,438
547,466
564,491
576,516
585,535
586,555
587,572
583,581
580,594
575,596
568,591
558,582
546,564
532,561
524,561
517,574
512,595
517,629
529,671
544,715
562,759
585,804
605,843
624,879
638,911
656,937
661,955
668,971
672,978
671,979
666,971
653,953
636,926
614,889
588,843
561,788
536,729
509,677
493,620
475,565
457,522
438,488
424,460
412,443
398,430
392,421
388,416
389,412
394,411
404,409
417,412
437,414
460,417
488,421
515,425
543,422
568,426
585,426
596,420
601,409
604,394
594,378
587,355
583,338
568,319
557,304
550,291
540,283
533,276
522,273
513,266
497,260
486,255
474,252
461,252
453,258
453,273
445,290
446,306
452,320
463,343
461,363
467,386
469,395
471,406
472,412
471,414
471,412
466,409
466,404
460,401
457,398
452,398
451,399
452,399
452,407
458,410
465,418
473,430
484,445
492,463
502,484
510,505
519,525
527,542
536,556
545,567
552,577
561,584
564,588
565,591
564,588
558,579
548,564
536,546
522,523
508,498
502,470
488,447
483,422
486,400
488,379
504,365
500,355
510,350
519,354
528,366
538,381
547,399
555,419
564,440
571,460
582,479
594,501
608,526
621,555
634,586
644,615
652,642
668,659
664,674
666,679
664,682
657,680
650,675
638,670
624,662
609,657
594,647
577,641
562,633
548,625
538,618
529,611
523,605
517,603
514,607
513,606
508,617
505,625
504,635
501,646
500,655
498,665
498,667
493,668
489,662
482,651
472,635
458,620
436,602
420,576
394,563
375,545
353,525
333,509
313,494
296,480
278,468
260,456
256,447
243,436
244,430
249,427
262,426
284,427
305,429
329,432
354,434
378,432
398,427
414,418
426,407
432,386
434,380
433,362
429,342
425,330
420,322
412,314
408,309
404,307
404,310
404,312
409,321
419,334
432,351
449,371
472,394
498,411
523,443
552,473
578,499
598,523
616,547
629,567
638,583
645,597
654,606
663,612
675,614
686,613
698,610
708,605
713,597
714,589
711,575
701,574
689,569
670,563
650,561
630,558
610,559
592,559
577,560
568,565
556,567
556,571
548,571
552,576
556,575
562,575
569,575
574,574
580,574
584,572
588,571
583,567
577,562
568,554
556,543
545,531
533,518
523,505
514,494
505,485
498,477
494,466
486,473
490,478
490,485
489,494
488,501
488,510
486,516
486,520
487,526
486,525
486,528
492,529
492,527
493,524
491,521
484,518
473,513
467,510
460,506
452,507
444,509
