A,B
411,449
417,471
436,493
451,509
470,520
489,527
506,533
517,534
526,533
528,532
528,529
521,530
510,519
496,510
480,496
465,479
452,460
445,439
443,422
444,409
452,398
463,391
476,384
490,389
501,392
513,397
532,405
532,413
537,422
537,431
537,440
538,452
536,463
536,475
535,482
535,490
530,492
524,491
516,486
506,477
497,462
488,457
482,447
479,442
478,441
480,446
490,452
500,469
516,487
536,510
553,535
574,565
600,594
628,623
656,655
680,682
699,710
706,730
709,742
697,745
675,736
644,720
610,701
579,677
551,653
528,631
516,611
505,599
511,589
523,587
540,594
562,606
588,619
614,631
636,643
662,652
680,656
692,659
697,660
697,658
696,657
692,657
684,655
676,653
666,654
657,650
644,646
632,642
620,638
608,634
603,626
600,623
597,622
596,622
593,623
590,628
586,637
580,645
570,655
558,667
546,675
534,683
524,684
512,682
504,674
498,659
493,639
494,611
497,577
501,539
512,499
521,456
525,418
525,382
519,349
511,327
502,308
494,295
486,288
487,284
482,292
480,299
478,309
474,319
466,335
457,347
446,354
435,359
426,363
414,362
403,359
392,357
381,352
371,351
364,351
359,353
356,356
360,360
365,368
376,376
390,385
407,398
426,410
446,433
466,452
484,472
497,489
510,504
513,510
512,512
507,510
508,502
486,495
473,486
461,476
450,467
443,456
439,444
430,441
423,435
420,432
416,441
413,437
414,443
416,453
424,466
437,476
445,495
456,510
464,521
473,533
480,534
481,540
483,538
484,534
484,531
483,522
483,516
480,512
483,512
476,506
472,505
473,507
472,510
473,512
480,513
486,521
494,526
502,536
510,546
516,559
525,575
535,588
549,605
567,615
587,623
612,628
635,627
650,622
669,617
674,612
670,607
661,604
648,602
630,598
614,589
596,585
581,581
570,578
561,577
558,579
556,583
556,587
556,589
560,586
560,581
563,570
559,560
559,555
556,548
537,551
521,552
504,551
483,546
467,539
454,526
442,510
433,493
428,479
425,467
425,458
430,452
435,445
444,444
455,442
461,451
468,443
471,445
473,448
473,452
472,460
472,467
470,471
470,480
468,483
466,487
462,486
456,484
463,477
445,472
440,462
436,458
434,457
435,457
440,459
444,463
453,467
466,468
483,474
498,471
516,474
532,476
547,481
560,487
566,494
568,500
568,505
560,510
552,513
540,518
530,516
517,513
507,514
496,512
488,507
482,507
478,504
478,507
479,510
484,517
490,523
498,529
504,533
513,538
522,539
533,535
540,529
546,517
548,517
548,507
547,499
544,499
541,480
538,478
536,476
535,476
540,481
551,496
550,506
555,522
565,539
575,558
584,574
590,588
594,598
600,607
598,611
595,615
586,614
579,616
569,610
558,604
546,602
533,580
520,565
511,550
490,537
476,526
463,516
456,507
447,503
446,508
445,508
448,511
455,513
457,517
465,522
473,526
483,532
492,539
501,538
508,538
513,535
516,528
522,523
516,509
513,497
512,498
501,485
495,479
490,479
490,475
482,471
482,463
483,453
484,444
486,434
490,427
495,431
498,438
502,452
507,463
511,479
520,494
533,502
530,509
538,513
540,518
539,522
532,526
524,529
515,531
505,533
498,535
491,537
483,536
479,539
478,540
478,541
484,547
496,546
505,549
517,550
530,549
540,550
555,549
558,545
566,546
564,543
566,541
564,536
555,533
555,523
548,518
541,512
530,513
526,503
520,501
513,499
506,498
504,498
501,501
502,504
504,511
510,526
518,529
516,539
520,543
524,556
525,560
526,558
522,557
518,551
509,543
498,531
485,520
468,508
457,495
450,484
444,472
443,463
447,454
455,444
465,447
479,447
488,448
504,453
514,460
521,467
535,474
533,477
542,486
538,488
538,489
535,488
530,486
524,485
516,479
510,474
500,470
496,467
496,464
497,467
500,471
502,482
512,493
523,506
533,515
540,527
548,535
552,540
556,543
554,539
552,543
547,543
542,543
536,540
530,539
523,534
518,529
512,523
504,520
503,515
503,506
492,505
492,507
488,510
492,524
498,520
508,527
520,534
531,540
552,542
557,543
568,543
574,542
575,539
570,537
560,534
537,530
522,524
499,518
481,514
465,507
459,504
446,499
444,498
448,497
454,498
463,503
473,507
484,514
498,518
512,523
528,527
541,529
553,530
562,529
565,526
566,521
558,515
552,507
547,501
527,495
519,489
511,482
505,477
500,481
496,475
495,467
493,466
494,465
493,467
493,468
493,473
493,480
493,490
492,500
493,502
488,513
484,514
478,512
471,507
461,498
450,487
436,476
424,463
409,453
397,442
387,431
383,421
383,414
388,413
402,414
402,423
406,435
406,446
402,466
396,483
387,499
381,512
375,524
373,533
375,538
378,539
384,534
390,526
397,513
406,498
410,479
415,463
420,448
428,436
432,430
438,425
445,424
458,431
467,439
484,450
502,460
521,475
539,490
554,505
565,519
575,534
581,547
588,558
588,571
587,583
589,592
592,599
598,601
598,599
602,594
606,590
610,591
616,595
614,609
616,627
618,641
624,665
629,680
638,688
649,691
661,699
673,702
686,703
698,703
708,702
717,698
730,692
740,683
752,667
764,660
771,649
773,636
