A,B
520,427
517,440
513,455
511,470
505,486
504,500
500,513
496,526
488,540
485,561
480,579
476,596
474,615
470,633
464,651
459,665
461,682
459,688
464,691
476,687
480,679
498,668
511,654
526,643
543,633
560,631
575,621
586,613
591,604
593,587
588,567
577,542
564,514
548,488
532,461
520,438
510,420
504,409
502,400
503,395
506,397
515,403
532,418
561,447
615,490
673,549
744,619
824,694
893,766
954,830
1004,869
1013,894
1009,896
982,879
932,839
868,782
792,711
710,633
632,554
557,475
491,406
436,334
380,278
339,227
309,184
288,148
273,122
264,108
256,101
250,109
240,102
238,107
233,116
235,128
240,142
255,158
276,179
302,202
332,225
360,245
386,260
408,272
422,282
432,290
432,297
432,314
433,331
432,351
437,374
444,399
456,430
474,457
497,487
522,517
544,546
572,571
595,591
619,609
639,626
653,637
661,646
664,653
665,659
665,658
664,655
664,658
667,652
664,647
668,639
664,631
662,625
654,615
642,606
630,599
612,584
598,574
582,563
568,551
558,545
547,542
540,543
531,550
522,552
514,562
508,574
502,580
495,582
488,578
477,570
468,562
457,550
444,545
431,535
417,537
405,538
393,542
382,549
371,556
359,562
348,564
340,563
333,546
332,527
334,503
337,479
341,453
344,429
343,410
345,393
342,382
335,374
330,366
321,360
314,355
308,343
306,338
307,333
312,332
316,333
323,338
330,344
334,354
342,363
351,377
361,386
372,394
383,399
390,408
403,414
411,421
417,429
422,438
423,447
433,454
423,456
422,457
420,455
420,452
418,447
417,450
418,442
419,438
423,439
428,441
433,444
441,453
449,460
460,465
472,472
488,478
506,483
529,487
547,494
564,499
578,503
587,507
591,509
591,511
584,509
572,505
552,500
538,493
515,488
496,486
478,479
468,467
464,460
463,452
465,446
469,440
474,443
478,431
479,431
482,433
486,437
490,442
497,451
505,458
516,468
528,481
541,498
556,515
570,534
582,550
592,558
592,565
592,567
584,570
585,573
585,578
587,584
591,589
598,590
596,583
594,575
593,564
594,554
595,542
596,543
597,543
599,541
600,540
596,538
593,539
589,543
586,547
583,556
580,563
576,575
570,577
570,582
566,586
564,592
561,603
558,604
553,607
549,605
548,603
551,597
551,592
554,584
556,583
549,576
540,565
525,551
511,534
498,519
488,505
481,495
477,484
475,475
473,466
470,456
464,451
452,452
447,449
438,454
431,462
426,473
426,485
431,499
442,511
455,524
472,533
489,540
509,543
534,548
551,549
574,562
600,573
628,589
652,603
676,620
702,641
720,658
734,676
746,695
755,709
761,735
768,758
772,781
776,800
776,818
769,828
757,830
737,820
717,806
696,786
674,769
656,751
643,740
633,734
627,731
626,734
629,741
633,752
644,764
655,773
666,779
676,778
684,775
693,769
698,762
700,756
692,751
700,747
697,737
689,726
675,708
657,689
639,668
612,652
588,630
560,609
532,583
504,552
474,512
452,484
424,448
406,430
392,412
385,396
384,381
382,367
381,365
377,356
368,367
363,386
358,411
359,433
368,452
380,453
402,439
426,420
445,395
459,365
462,336
459,308
449,279
445,256
446,238
458,222
478,214
503,212
529,223
554,239
568,251
580,267
585,279
596,293
602,306
609,315
621,327
634,339
644,355
656,371
668,389
680,407
690,420
700,436
704,455
708,479
709,509
710,543
712,572
710,601
710,603
702,604
695,597
688,587
677,583
664,581
648,584
630,587
608,593
592,589
575,585
556,578
538,570
524,558
516,542
514,517
517,488
526,452
538,411
546,370
552,330
553,294
542,273
524,258
498,249
470,246
440,245
410,247
382,247
357,246
340,246
313,244
298,249
278,243
265,246
252,251
241,263
233,277
230,295
237,316
241,342
264,370
277,399
295,431
310,462
319,492
328,516
332,527
336,529
342,517
351,496
366,473
385,456
406,451
427,465
461,500
493,548
528,600
561,652
592,692
618,719
625,730
625,733
612,732
574,742
532,762
482,792
430,835
383,877
348,915
322,937
309,943
306,931
309,902
319,860
332,809
349,751
370,700
392,657
413,630
430,623
437,627
436,651
428,684
420,722
407,758
401,785
399,801
401,806
407,803
412,795
416,782
418,768
422,736
428,693
430,643
440,583
445,524
450,470
452,427
453,394
448,379
456,367
462,364
474,366
486,382
503,394
518,415
531,442
538,465
547,481
555,485
564,479
576,463
590,438
606,410
623,386
632,360
639,351
652,346
656,347
660,359
665,374
669,387
674,392
674,383
677,365
674,342
