A,B
700,676
696,675
690,671
684,667
678,665
673,660
665,657
656,653
640,651
622,650
600,649
578,650
556,649
534,651
515,654
498,652
484,653
471,647
463,652
454,652
446,644
442,636
440,623
443,607
443,590
442,571
437,554
431,540
419,527
406,515
392,505
378,498
368,490
360,483
354,477
356,473
366,461
365,448
368,438
371,427
370,415
370,408
371,403
370,400
365,402
362,407
361,413
366,423
370,422
376,425
386,424
398,420
412,415
421,409
426,404
430,399
431,394
430,388
428,382
427,376
426,370
422,362
420,356
418,347
418,338
419,332
426,328
432,330
438,326
448,333
452,343
457,355
467,367
474,379
481,394
490,410
496,429
502,451
508,485
514,502
520,519
528,535
539,546
548,551
558,553
566,552
572,547
574,541
575,523
573,514
571,499
570,484
572,473
573,462
578,455
582,455
584,454
582,457
575,461
570,463
555,479
544,473
536,475
528,479
523,483
521,488
525,495
529,502
535,507
540,514
543,515
544,516
544,514
539,507
533,498
527,488
521,483
520,475
515,472
511,471
505,474
503,475
496,476
486,474
478,472
472,467
467,465
468,467
468,470
471,474
476,481
482,487
489,492
495,497
501,505
516,515
531,525
551,539
570,554
593,569
613,582
626,591
633,602
635,603
628,599
618,591
602,574
586,554
568,530
551,507
534,486
522,465
511,451
504,441
501,435
505,435
511,437
520,442
530,451
540,460
550,467
558,476
564,483
569,491
571,502
570,512
568,523
564,535
560,551
548,551
536,555
519,554
500,552
478,546
459,539
440,534
425,527
415,523
409,521
410,519
410,520
413,519
417,518
420,513
421,508
425,504
425,499
429,495
437,496
446,495
458,504
468,511
474,523
480,530
481,529
480,533
478,535
479,536
481,535
478,530
482,524
486,517
494,512
494,509
509,509
517,508
524,507
528,502
533,498
534,493
537,487
536,482
536,480
538,476
534,473
532,471
529,468
523,473
514,466
509,466
500,469
494,473
488,478
483,482
481,487
481,490
483,498
486,505
501,519
498,533
504,551
511,569
518,587
522,603
533,606
540,606
550,606
556,600
562,594
566,587
566,580
564,572
560,563
555,555
546,550
536,546
532,546
530,543
527,558
529,567
530,578
531,588
530,598
525,602
520,606
512,603
511,602
510,601
511,599
518,598
529,597
540,595
553,593
564,590
577,592
586,584
594,581
600,578
604,578
606,578
607,577
604,575
596,573
584,568
574,564
558,558
546,553
534,547
523,541
512,532
503,530
494,518
486,512
485,507
484,506
482,503
482,503
484,504
482,504
483,500
489,501
476,486
474,477
466,468
458,460
447,455
437,451
428,449
418,446
415,440
