,Unnamed: 0,A,B
14287,14287,521,524
14288,14288,509,513
14289,14289,508,510
14290,14290,506,503
14291,14291,504,499
14292,14292,503,495
14293,14293,506,495
14294,14294,504,495
14295,14295,507,499
14296,14296,509,500
14297,14297,512,505
14298,14298,516,508
14299,14299,520,513
14300,14300,522,516
14301,14301,522,518
14302,14302,526,523
14303,14303,525,522
14304,14304,528,522
14305,14305,527,522
14306,14306,527,524
14307,14307,527,523
14308,14308,526,523
14309,14309,524,519
14310,14310,522,515
14311,14311,520,512
14312,14312,514,508
14313,14313,511,504
14314,14314,505,500
14315,14315,504,499
14316,14316,499,498
14317,14317,500,500
14318,14318,500,502
14319,14319,504,504
14320,14320,506,505
14321,14321,510,508
14322,14322,513,511
14323,14323,516,514
14324,14324,519,515
14325,14325,523,519
14326,14326,526,522
14327,14327,528,525
14328,14328,530,530
14329,14329,526,532
14330,14330,524,536
14331,14331,508,538
14332,14332,509,540
14333,14333,498,539
14334,14334,491,539
14335,14335,493,537
14336,14336,479,535
14337,14337,475,533
14338,14338,475,533
14339,14339,476,534
14340,14340,478,535
14341,14341,486,535
14342,14342,492,536
14343,14343,500,535
14344,14344,501,531
14345,14345,508,527
14346,14346,506,522
14347,14347,508,517
14348,14348,500,512
14349,14349,500,510
14350,14350,500,510
14351,14351,497,510
14352,14352,498,512
14353,14353,501,515
14354,14354,507,517
14355,14355,515,514
14356,14356,515,514
14357,14357,519,510
14358,14358,520,504
14359,14359,522,499
14360,14360,518,498
14361,14361,512,493
14362,14362,511,494
14363,14363,509,495
14364,14364,506,498
14365,14365,504,500
14366,14366,502,495
14367,14367,500,508
14368,14368,504,503
14369,14369,505,503
14370,14370,510,500
14371,14371,513,498
14372,14372,516,492
14373,14373,520,488
14374,14374,518,484
14375,14375,520,482
14376,14376,514,479
14377,14377,515,481
14378,14378,511,480
14379,14379,508,483
14380,14380,505,485
14381,14381,502,487
14382,14382,498,491
14383,14383,496,494
14384,14384,492,498
14385,14385,490,501
14386,14386,489,503
14387,14387,488,508
14388,14388,492,513
14389,14389,489,514
14390,14390,495,519
14391,14391,497,522
14392,14392,499,522
14393,14393,500,526
14394,14394,498,527
14395,14395,498,527
14396,14396,502,526
14397,14397,507,525
14398,14398,511,521
14399,14399,515,519
14400,14400,515,516
14401,14401,516,516
14402,14402,514,513
14403,14403,511,513
14404,14404,509,509
14405,14405,508,509
14406,14406,502,506
14407,14407,500,503
14408,14408,497,498
14409,14409,494,495
14410,14410,495,492
14411,14411,496,491
14412,14412,500,490
14413,14413,500,491
14414,14414,506,494
14415,14415,506,495
14416,14416,520,498
14417,14417,517,499
14418,14418,524,501
14419,14419,526,503
14420,14420,531,502
14421,14421,532,502
14422,14422,534,500
14423,14423,533,498
14424,14424,533,495
14425,14425,529,493
14426,14426,528,488
14427,14427,527,487
14428,14428,526,485
14429,14429,526,485
14430,14430,528,483
14431,14431,530,485
14432,14432,538,486
14433,14433,541,493
14434,14434,546,494
14435,14435,552,499
14436,14436,557,501
14437,14437,560,503
14438,14438,562,503
14439,14439,565,506
14440,14440,560,503
14441,14441,560,501
14442,14442,559,499
14443,14443,552,493
14444,14444,550,493
14445,14445,543,489
14446,14446,534,487
14447,14447,522,480
14448,14448,513,485
14449,14449,505,485
14450,14450,496,488
14451,14451,488,497
14452,14452,484,496
14453,14453,481,502
14454,14454,477,510
14455,14455,476,519
14456,14456,476,526
14457,14457,479,535
14458,14458,484,542
14459,14459,491,550
14460,14460,497,551
14461,14461,497,550
14462,14462,504,551
14463,14463,503,551
14464,14464,500,549
14465,14465,494,547
14466,14466,493,546
14467,14467,480,547
14468,14468,474,543
14469,14469,470,539
14470,14470,465,533
14471,14471,464,523
14472,14472,464,516
14473,14473,473,509
14474,14474,468,500
14475,14475,469,493
14476,14476,473,492
14477,14477,477,489
14478,14478,483,490
14479,14479,487,492
14480,14480,496,494
14481,14481,501,499
14482,14482,506,500
14483,14483,511,503
14484,14484,515,502
14485,14485,518,511
14486,14486,518,513
14487,14487,522,515
14488,14488,520,516
14489,14489,520,513
14490,14490,515,509
14491,14491,517,503
14492,14492,507,492
14493,14493,497,486
14494,14494,491,477
14495,14495,486,469
14496,14496,491,468
14497,14497,482,463
14498,14498,484,463
14499,14499,487,466
14500,14500,492,475
14501,14501,498,478
14502,14502,506,486
14503,14503,512,493
14504,14504,520,501
14505,14505,527,508
14506,14506,536,517
14507,14507,542,522
14508,14508,549,530
14509,14509,558,535
14510,14510,562,539
14511,14511,569,542
14512,14512,568,543
14513,14513,569,546
14514,14514,565,543
14515,14515,561,542
14516,14516,554,535
14517,14517,555,533
14518,14518,540,525
14519,14519,534,521
14520,14520,529,518
14521,14521,526,520
14522,14522,526,523
14523,14523,529,527
14524,14524,531,533
14525,14525,535,537
14526,14526,543,544
14527,14527,547,546
14528,14528,554,548
14529,14529,560,548
14530,14530,568,549
14531,14531,572,548
14532,14532,575,546
14533,14533,581,548
14534,14534,573,545
14535,14535,568,546
14536,14536,562,546
14537,14537,552,543
14538,14538,542,540
14539,14539,532,537
14540,14540,522,532
14541,14541,512,527
14542,14542,501,529
14543,14543,493,515
14544,14544,484,510
14545,14545,476,504
14546,14546,469,500
14547,14547,464,500
14548,14548,460,499
14549,14549,459,500
14550,14550,460,499
14551,14551,458,499
14552,14552,461,499
14553,14553,464,495
14554,14554,469,491
14555,14555,473,487
14556,14556,479,484
14557,14557,480,483
14558,14558,484,484
14559,14559,476,488
14560,14560,482,487
14561,14561,481,489
14562,14562,480,492
14563,14563,480,493
14564,14564,479,483
14565,14565,480,500
14566,14566,481,494
14567,14567,485,494
14568,14568,486,497
14569,14569,494,499
14570,14570,499,501
14571,14571,506,504
14572,14572,510,510
14573,14573,513,509
14574,14574,516,507
14575,14575,518,508
14576,14576,513,501
14577,14577,519,501
14578,14578,515,501
14579,14579,513,499
14580,14580,512,500
14581,14581,506,507
14582,14582,513,506
14583,14583,513,508
14584,14584,516,512
14585,14585,518,512
14586,14586,520,511
14587,14587,520,509
14588,14588,523,507
14589,14589,521,503
14590,14590,520,502
14591,14591,518,502
14592,14592,518,501
14593,14593,517,500
14594,14594,509,498
14595,14595,514,500
14596,14596,515,498
14597,14597,516,500
14598,14598,515,499
14599,14599,514,505
14600,14600,520,510
14601,14601,524,520
14602,14602,520,528
14603,14603,520,538
14604,14604,518,544
14605,14605,518,555
14606,14606,520,547
14607,14607,515,543
14608,14608,513,536
14609,14609,510,527
14610,14610,508,519
14611,14611,499,513
14612,14612,497,511
14613,14613,491,511
14614,14614,485,515
14615,14615,478,516
14616,14616,472,524
14617,14617,466,527
14618,14618,462,535
14619,14619,456,528
14620,14620,454,537
14621,14621,450,539
14622,14622,457,543
14623,14623,449,542
14624,14624,449,542
14625,14625,452,545
14626,14626,460,546
