,Unnamed: 0,A,B
3942,3942,503,507
3943,3943,508,508
3944,3944,513,507
3945,3945,519,508
3946,3946,523,510
3947,3947,525,509
3948,3948,526,507
3949,3949,531,509
3950,3950,537,512
3951,3951,538,510
3952,3952,542,514
3953,3953,545,515
3954,3954,551,515
3955,3955,549,515
3956,3956,551,515
3957,3957,552,514
3958,3958,551,514
3959,3959,550,513
3960,3960,546,510
3961,3961,542,511
3962,3962,538,502
3963,3963,533,502
3964,3964,531,498
3965,3965,524,494
3966,3966,518,490
3967,3967,513,488
3968,3968,510,485
3969,3969,505,486
3970,3970,504,483
3971,3971,498,479
3972,3972,495,476
3973,3973,491,470
3974,3974,489,469
3975,3975,486,464
3976,3976,484,461
3977,3977,480,462
3978,3978,479,463
3979,3979,478,465
3980,3980,478,470
3981,3981,483,473
3982,3982,478,478
3983,3983,479,477
3984,3984,485,483
3985,3985,482,487
3986,3986,485,491
3987,3987,489,495
3988,3988,492,498
3989,3989,496,500
3990,3990,498,499
3991,3991,501,505
3992,3992,502,506
3993,3993,504,509
3994,3994,502,507
3995,3995,504,509
3996,3996,505,509
3997,3997,502,507
3998,3998,500,503
3999,3999,500,500
4000,4000,500,495
4001,4001,499,491
4002,4002,500,488
4003,4003,498,485
4004,4004,499,482
4005,4005,498,484
4006,4006,502,486
4007,4007,502,490
4008,4008,504,503
4009,4009,505,499
4010,4010,509,505
4011,4011,513,510
4012,4012,517,514
4013,4013,523,517
4014,4014,523,525
4015,4015,531,524
4016,4016,532,519
4017,4017,538,527
4018,4018,539,527
4019,4019,539,532
4020,4020,542,537
4021,4021,548,529
4022,4022,548,524
4023,4023,555,519
4024,4024,553,511
4025,4025,556,507
4026,4026,556,503
4027,4027,558,500
4028,4028,556,499
4029,4029,555,503
4030,4030,553,502
4031,4031,552,507
4032,4032,552,512
4033,4033,548,515
4034,4034,548,519
4035,4035,542,529
4036,4036,540,526
4037,4037,536,527
4038,4038,531,536
4039,4039,528,540
4040,4040,528,546
4041,4041,523,552
4042,4042,522,555
4043,4043,521,558
4044,4044,520,565
4045,4045,518,569
4046,4046,516,570
4047,4047,516,572
4048,4048,517,569
4049,4049,520,564
4050,4050,522,561
4051,4051,527,552
4052,4052,529,550
4053,4053,534,543
4054,4054,536,538
4055,4055,536,532
4056,4056,535,526
4057,4057,529,520
4058,4058,521,513
4059,4059,512,506
4060,4060,505,509
4061,4061,496,494
4062,4062,490,493
4063,4063,478,491
4064,4064,476,491
4065,4065,470,491
4066,4066,465,495
4067,4067,464,497
4068,4068,469,501
4069,4069,474,503
4070,4070,480,509
4071,4071,484,514
4072,4072,492,517
4073,4073,497,521
4074,4074,501,523
4075,4075,504,526
4076,4076,503,526
