A,B
508,506
520,506
528,506
537,503
547,503
549,503
553,504
555,507
554,513
547,518
545,528
529,528
517,531
508,530
498,527
493,522
490,518
489,513
490,514
492,512
492,514
492,521
489,525
486,539
484,539
480,543
480,544
484,542
488,537
494,533
499,524
506,529
514,529
525,527
536,527
549,524
562,521
573,519
583,515
589,514
594,512
597,513
600,515
599,527
596,520
591,524
584,528
575,531
564,533
553,536
540,537
531,536
520,534
510,529
502,527
496,521
489,518
488,515
479,517
478,519
479,527
482,534
482,543
494,551
504,558
512,565
521,567
530,566
540,564
541,562
539,561
537,563
530,566
522,569
516,571
505,575
496,577
488,575
480,570
474,563
470,552
470,535
460,515
456,492
457,466
464,442
478,418
498,399
513,374
534,355
554,340
574,331
590,311
605,298
621,286
634,279
640,276
644,281
642,290
638,303
628,319
622,335
608,354
600,369
588,382
575,396
562,408
545,423
530,438
516,454
502,471
490,481
480,489
475,489
473,484
470,479
472,470
470,463
466,461
456,462
451,468
440,478
432,490
424,501
418,512
415,523
414,535
419,545
434,559
441,562
461,567
488,557
521,526
556,482
589,430
614,384
622,356
613,356
589,380
552,424
513,487
476,549
445,605
432,644
426,667
426,674
431,665
440,643
450,612
460,574
472,531
484,488
498,447
512,414
524,387
535,368
544,363
548,362
550,374
545,396
539,420
532,449
523,479
514,510
507,535
504,557
503,575
509,589
516,603
528,612
540,621
551,631
568,638
577,647
586,654
591,657
592,662
588,666
581,671
571,678
560,695
546,696
534,709
521,726
512,746
503,766
497,787
489,807
484,823
483,840
485,851
488,856
492,861
501,848
504,838
508,822
511,801
510,779
509,757
506,735
501,718
494,708
489,699
484,696
476,699
473,705
465,713
456,722
446,719
436,728
422,724
408,717
392,704
379,687
368,669
361,639
357,626
356,604
359,586
361,568
368,551
372,536
377,518
383,507
391,492
400,479
411,467
425,460
438,453
451,447
464,446
474,444
484,443
490,442
493,440
496,435
499,427
500,421
502,413
505,407
506,402
508,400
512,399
508,404
511,401
516,397
524,386
534,374
545,358
558,338
573,320
587,301
600,285
607,273
611,266
609,265
606,264
598,270
590,271
581,277
574,279
574,283
573,286
562,292
559,297
556,307
554,316
553,324
557,332
557,340
568,348
575,354
584,361
592,364
594,368
600,369
600,369
599,368
599,369
597,367
592,373
584,375
574,377
561,380
545,382
530,386
514,395
502,396
492,403
487,413
479,424
475,435
471,447
467,458
464,462
462,473
460,479
460,484
460,489
463,492
469,494
475,498
486,503
498,510
509,516
519,525
526,531
532,536
532,542
533,545
533,547
532,548
532,549
528,549
528,547
524,557
524,559
517,563
512,563
506,561
501,559
492,555
485,553
475,549
464,543
457,540
446,538
440,538
432,540
425,543
419,549
415,553
414,555
418,559
420,550
425,546
429,545
432,549
434,557
435,570
434,583
436,594
435,602
440,598
439,594
444,586
449,571
457,564
464,558
477,553
485,555
496,555
506,555
513,553
520,550
525,543
532,536
528,522
529,511
526,501
522,494
518,491
512,495
502,501
493,513
481,524
470,542
460,559
448,580
441,601
434,620
434,639
430,640
433,641
436,634
441,622
452,607
462,586
474,570
488,555
504,541
520,533
536,527
552,526
567,532
580,535
592,539
604,542
610,543
620,541
624,535
626,534
626,527
629,521
633,516
634,513
639,511
642,511
649,505
657,503
665,498
671,493
672,486
670,476
665,470
661,462
656,455
652,451
647,450
639,447
632,445
620,442
607,439
592,435
578,429
567,419
559,406
552,389
550,369
550,350
552,334
552,322
548,318
545,321
537,331
529,347
518,362
508,378
497,395
488,408
479,423
474,437
470,451
469,464
471,479
472,496
473,511
475,525
474,537
476,546
476,551
474,557
480,561
484,551
488,549
491,547
497,547
498,546
495,546
489,545
478,542
466,547
455,545
442,545
433,543
428,541
430,539
423,535
427,531
421,531
421,531
419,531
417,530
419,530
422,529
424,525
423,521
425,516
419,509
411,503
403,495
395,491
392,485
391,479
400,480
405,479
415,483
426,489
437,497
446,506
454,514
464,523
472,527
489,532
489,540
497,547
506,555
513,564
