A,B
574,504
580,505
585,512
586,523
583,537
578,553
572,570
561,583
552,595
543,601
529,605
516,603
505,600
494,594
485,588
476,583
475,578
462,585
458,590
458,599
459,605
463,618
475,628
477,637
485,647
490,656
490,666
488,674
473,682
464,687
447,691
426,686
411,694
395,672
380,656
364,634
347,607
326,583
302,559
275,542
248,531
223,522
205,514
198,509
204,505
223,506
254,512
293,520
340,527
392,534
449,537
503,535
552,527
594,516
630,502
664,491
688,472
714,459
739,447
759,436
772,430
781,425
784,422
782,423
780,427
775,434
771,441
766,446
761,447
752,450
745,444
738,439
732,432
723,427
715,423
710,420
696,422
685,426
673,434
658,443
645,455
634,469
622,480
612,492
603,499
594,504
588,507
578,510
561,508
556,510
546,510
539,512
532,512
531,512
529,518
530,512
529,509
528,504
525,492
518,490
511,483
506,469
502,456
498,444
497,429
498,415
497,403
495,391
496,383
496,374
500,370
497,369
497,367
496,366
496,365
497,360
503,355
505,351
510,349
514,349
518,351
522,359
525,366
526,374
528,380
529,385
529,387
526,387
521,388
514,389
509,392
501,394
496,399
493,399
492,401
492,403
491,404
495,405
496,409
495,415
495,427
495,445
500,465
492,488
488,512
484,532
478,551
473,561
471,579
462,587
461,588
459,596
454,589
453,583
459,574
454,570
449,565
452,562
450,561
448,566
446,570
446,576
440,585
434,595
425,604
415,619
404,630
394,638
383,643
376,644
369,643
365,643
362,639
356,637
351,635
340,635
329,630
314,626
302,621
288,613
280,604
274,594
271,583
270,572
266,559
264,553
258,547
255,544
255,543
257,543
267,543
278,543
293,538
312,535
331,529
352,523
374,516
394,510
408,506
429,506
444,500
457,502
468,510
476,517
484,527
486,533
491,535
491,533
497,528
508,516
524,505
546,490
575,479
608,468
643,463
679,460
715,461
748,462
779,466
804,465
825,466
840,466
848,465
853,463
852,460
847,460
840,455
831,454
829,453
824,455
824,459
826,465
825,470
824,478
818,485
810,493
799,498
785,503
769,506
752,510
732,506
712,504
689,503
671,502
654,504
637,508
619,514
612,521
603,527
594,535
586,541
579,548
572,553
565,562
557,567
549,574
542,582
533,590
526,598
516,604
509,606
501,603
492,597
490,589
474,575
464,563
454,551
445,538
436,526
430,516
428,512
428,493
434,487
441,481
452,479
463,482
475,483
488,486
501,484
516,484
530,477
543,469
554,459
561,449
563,447
562,432
557,433
553,435
548,437
544,449
541,458
543,469
546,477
551,482
553,484
556,484
556,483
557,487
552,485
552,487
550,493
546,502
542,513
536,527
533,546
522,557
520,566
508,576
500,580
494,577
488,571
480,563
477,552
467,551
461,548
457,547
454,549
453,548
454,559
455,567
458,578
459,585
459,594
458,600
458,597
456,594
454,587
449,579
443,572
436,566
430,567
425,559
423,554
429,547
435,541
448,535
460,527
470,521
478,516
484,502
492,491
484,478
480,465
476,455
472,450
468,453
469,460
465,472
464,483
460,492
452,494
444,494
436,492
430,489
426,483
425,479
428,473
433,463
438,452
444,439
448,429
452,423
460,414
467,412
473,412
478,412
483,415
488,413
491,412
496,411
504,410
511,409
522,408
531,406
536,402
538,401
534,402
535,402
530,409
526,419
521,430
519,440
520,447
520,458
520,453
517,455
514,457
509,463
501,473
495,495
491,511
489,529
488,555
496,578
502,599
512,620
512,627
511,635
506,634
497,629
486,619
473,606
467,595
460,584
452,578
447,573
444,568
445,564
452,549
461,538
472,519
480,499
486,484
487,471
483,466
478,467
466,474
466,478
473,490
471,495
476,495
487,494
488,489
492,483
498,475
501,469
504,463
505,467
505,468
502,474
495,477
486,488
475,497
467,503
461,510
456,521
454,518
445,517
444,517
444,512
444,514
444,515
447,520
453,522
458,526
465,527
469,526
472,526
470,527
470,528
466,533
464,542
464,551
461,559
470,573
480,584
490,591
501,595
510,595
518,591
521,587
521,581
519,574
510,568
503,559
494,551
485,542
478,531
472,521
468,512
467,502
469,495
473,491
476,492
479,492
482,497
482,502
482,511
479,520
475,529
471,539
469,546
469,551
472,555
476,554
481,558
487,557
483,554
484,550
482,543
483,538
486,532
491,528
498,533
505,525
508,524
509,522
509,519
503,515
496,510
485,505
472,499
462,495
452,494
444,491
437,491
428,494
416,498
396,503
371,510
340,524
302,537
271,549
242,560
240,571
233,575
243,578
255,576
272,573
296,567
332,559
374,553
426,553
477,549
522,563
562,555
596,556
618,555
638,551
653,548
668,543
680,539
688,534
698,532
706,527
713,523
722,519
728,512
734,504
738,494
743,487
744,481
742,475
732,470
720,465
702,465
682,467
657,468
636,471
612,479
592,486
578,492
566,495
560,497
558,494
560,491
573,486
569,492
586,486
600,487
613,488
629,491
647,492
665,493
688,493
709,501
720,495
733,494
725,498
726,499
724,499
712,500
701,497
688,494
675,489
661,483
649,475
637,463
626,458
617,452
610,446
602,443
600,443
592,445
577,451
573,453
567,463
562,469
561,476
560,485
561,495
562,509
560,522
555,535
547,546
533,550
516,551
500,547
486,545
472,539
458,535
459,534
449,536
454,548
445,551
447,559
449,567
455,573
459,578
469,579
474,586
476,591
479,594
480,594
476,588
470,575
464,565
457,539
450,533
442,516
438,503
430,493
420,486
411,476
404,471
398,464
397,452
399,448
409,445
422,442
440,442
460,447
477,455
485,465
487,471
483,476
471,475
457,471
447,459
440,450
436,439
438,429
443,418
454,411
468,409
484,408
504,409
523,410
541,413
556,425
569,428
577,446
586,467
592,492
600,519
609,541
618,559
627,571
633,575
643,573
648,568
654,564
658,561
657,557
654,554
649,548
637,540
627,535
616,534
604,539
596,543
591,557
585,571
582,584
577,595
578,602
575,609
574,610
572,607
572,602
570,593
569,580
564,567
557,554
546,542
532,533
517,526
500,522
488,525
467,525
461,525
456,521
453,517
457,512
462,506
468,505
470,506
473,509
479,514
477,522
475,527
475,531
476,531
477,529
478,525
480,515
485,510
488,502
493,495
496,494
501,490
502,497
504,506
506,513
508,520
509,524
514,527
522,529
530,532
542,535
554,540
564,546
572,549
576,549
577,548
575,543
569,538
563,526
550,512
544,494
534,471
524,446
520,420
517,396
516,376
522,360
525,351
529,347
530,348
526,351
518,358
505,366
494,375
480,383
470,390
462,394
453,395
457,396
444,393
441,391
436,388
432,383
426,377
424,372
423,366
422,361
420,365
419,370
418,375
416,381
412,387
408,392
402,397
394,406
388,414
379,427
380,437
381,452
385,467
392,484
403,501
414,522
427,540
441,559
450,574
458,587
464,594
466,598
468,599
466,600
465,598
463,597
453,597
452,597
447,599
439,601
432,605
426,607
421,611
422,610
422,610
428,609
433,604
438,606
440,607
442,612
442,618
438,627
435,633
433,641
431,645
432,647
434,647
438,647
447,645
449,647
452,635
456,625
462,616
471,606
464,607
465,591
470,583
472,578
473,572
474,566
474,559
472,553
475,551
477,549
478,548
482,546
485,543
487,543
490,541
497,541
506,543
520,548
535,551
554,554
575,554
598,552
614,550
629,546
641,543
647,545
650,547
652,556
652,565
650,575
648,588
646,602
642,611
648,617
646,621
648,622
652,622
646,616
642,614
635,612
627,608
616,606
602,600
589,591
583,580
564,572
557,562
547,557
542,551
536,550
532,547
528,545
524,543
522,543
517,543
517,545
516,547
516,549
516,548
518,542
523,536
524,525
522,515
520,511
518,501
514,500
519,499
511,502
516,501
521,499
526,497
531,495
532,495
532,496
529,495
521,496
511,494
500,490
492,484
487,478
485,478
487,475
491,471
493,466
494,462
494,455
491,448
492,440
488,439
484,437
479,434
473,431
467,427
462,427
459,427
459,431
456,439
462,446
462,452
465,458
466,463
467,469
464,475
462,484
460,494
454,507
452,519
444,533
448,545
446,551
445,557
445,553
444,547
444,537
443,524
444,511
446,498
452,488
458,482
467,478
476,476
483,475
489,478
495,475
497,473
499,471
500,468
