A,B
488,472
501,495
514,517
526,537
535,554
547,575
551,579
556,584
559,587
561,583
560,578
557,567
552,556
540,542
526,529
503,512
488,495
465,482
443,467
424,457
406,449
396,442
391,440
393,443
400,448
412,459
426,473
444,490
464,509
488,528
513,548
536,566
560,582
579,600
594,613
608,623
614,628
614,627
607,619
593,603
576,578
552,557
526,530
499,507
484,475
470,451
458,425
452,406
446,391
444,381
442,379
444,389
442,399
452,406
468,426
482,447
501,473
521,496
542,518
560,539
573,556
583,568
599,576
591,575
586,570
578,561
566,546
550,527
532,507
514,484
494,459
477,437
462,415
449,394
440,391
434,368
433,359
434,353
440,351
450,352
464,357
480,369
497,383
512,398
530,422
548,450
564,478
581,510
598,539
612,563
624,581
633,594
634,588
630,580
618,567
600,550
577,538
553,518
531,504
507,490
485,475
465,460
447,448
432,438
416,429
408,422
401,421
401,424
404,431
410,440
423,463
431,483
444,507
457,533
476,559
497,586
520,609
543,636
569,641
576,646
586,642
590,634
589,624
578,611
562,599
547,587
529,576
512,569
497,559
484,553
472,547
464,542
455,536
450,535
445,528
443,527
444,530
445,533
452,543
458,551
466,565
476,578
489,591
500,606
512,618
524,628
534,636
539,640
541,644
540,643
538,639
532,630
519,618
512,604
508,590
500,574
491,558
483,545
476,535
468,526
461,518
454,506
452,507
461,509
458,505
467,502
476,517
493,518
510,526
525,530
541,533
556,534
568,535
577,533
582,533
588,533
591,532
589,531
584,531
576,528
567,523
550,519
544,505
533,489
525,473
517,453
514,435
517,416
514,408
516,399
520,396
525,396
530,401
537,409
542,417
547,428
550,437
552,446
554,457
553,466
553,474
552,481
552,487
552,492
553,495
552,497
556,499
555,499
556,499
554,498
553,499
549,497
542,499
533,502
522,508
511,517
500,528
492,540
485,551
484,562
486,572
490,579
494,582
500,579
503,580
505,573
508,563
509,553
510,536
508,517
504,498
493,476
484,458
474,438
468,421
462,412
458,407
457,407
454,411
452,421
451,428
451,441
452,457
450,467
459,471
468,479
478,492
490,501
505,512
518,525
532,540
541,553
549,564
553,572
554,575
552,572
542,574
530,569
516,561
501,549
484,534
467,517
450,500
436,484
422,469
412,455
405,444
402,436
406,433
413,431
426,434
440,439
458,446
479,457
500,471
518,487
538,502
554,516
570,527
582,536
588,539
593,537
589,535
593,527
590,519
584,515
575,512
569,509
560,509
552,508
546,500
536,499
529,492
521,481
511,471
500,466
488,449
476,447
468,447
460,446
455,452
454,458
455,466
456,477
459,486
460,498
460,507
462,515
466,519
471,524
477,529
482,534
485,534
488,540
498,541
488,545
488,542
489,542
488,539
490,538
494,534
493,530
498,529
493,526
499,528
503,526
508,536
516,556
526,565
537,579
551,597
564,610
571,618
573,620
574,619
563,612
558,603
545,594
533,585
521,577
509,571
497,565
488,561
481,557
473,547
468,551
466,552
456,548
464,551
462,553
464,549
469,550
474,555
479,559
483,563
488,579
501,577
501,581
494,578
500,575
502,568
504,559
506,550
514,538
510,527
508,518
506,507
501,495
494,484
482,474
470,465
455,454
443,451
430,448
424,445
419,442
419,442
422,443
426,446
432,450
440,456
449,465
459,472
472,481
489,486
506,490
520,498
538,491
544,484
552,474
555,464
556,454
556,444
557,436
559,434
560,432
563,434
563,438
561,445
