A,B
480,494
496,509
519,527
529,538
546,554
562,564
574,575
583,582
588,590
589,591
586,591
580,587
571,579
569,573
553,548
542,537
530,520
516,500
504,484
492,471
480,467
479,463
466,475
462,489
460,503
460,531
469,554
479,577
491,599
506,615
521,630
537,634
553,651
565,643
575,643
584,639
591,635
595,628
596,620
595,610
593,599
590,591
588,580
581,570
574,559
569,548
560,535
548,524
534,513
520,501
507,492
496,479
487,470
488,462
491,453
496,447
504,444
508,442
512,441
516,439
505,439
498,436
489,430
478,418
468,411
462,409
454,392
448,382
444,373
441,366
436,358
432,347
426,345
422,327
427,318
415,312
409,306
407,302
407,301
407,301
420,307
418,314
428,325
437,337
443,352
452,372
458,390
464,412
469,433
475,456
480,478
483,500
484,517
482,534
479,557
473,566
464,578
457,587
449,591
445,593
448,596
445,598
449,603
450,613
464,623
475,635
487,650
504,663
520,675
541,683
565,694
576,696
596,696
608,700
616,701
622,706
624,711
624,703
620,709
614,703
608,695
603,681
597,663
590,645
585,623
579,601
572,581
563,558
551,537
540,517
530,499
523,482
518,469
517,461
522,454
529,454
540,455
549,458
558,461
565,465
567,470
564,476
557,479
548,484
538,487
528,488
514,487
504,482
494,475
481,468
479,458
460,446
456,435
447,425
443,419
440,415
439,417
440,430
448,442
444,456
445,471
453,483
456,498
461,512
468,520
478,528
486,534
496,534
497,549
505,540
505,536
501,527
494,519
484,510
472,497
463,484
453,472
444,462
432,454
428,447
421,443
416,439
409,436
407,434
404,434
402,435
412,440
423,447
440,455
458,463
478,474
499,484
521,495
538,507
554,519
564,533
569,547
574,557
573,571
572,579
567,587
564,591
568,595
560,592
560,590
559,586
560,581
562,575
565,574
569,563
575,559
583,558
591,556
600,557
613,556
620,562
628,572
636,583
644,595
653,609
659,622
662,631
661,637
656,636
647,623
628,607
606,585
584,561
561,534
539,511
519,491
504,473
486,457
469,445
458,431
444,422
431,414
420,408
414,401
409,394
406,390
411,374
410,382
420,381
423,379
430,380
440,380
449,384
460,389
469,395
478,405
486,415
493,432
497,445
500,457
495,467
494,476
488,484
484,491
476,491
476,493
471,495
473,496
470,493
471,495
470,494
468,492
465,491
464,493
458,495
454,502
452,507
458,511
454,519
460,523
464,526
470,531
478,536
486,545
490,547
497,559
502,565
505,569
511,571
505,564
504,557
497,548
491,537
484,527
478,519
472,502
467,490
464,479
463,470
461,462
460,455
463,447
462,448
463,445
462,447
464,449
464,455
470,463
478,474
494,485
504,500
522,512
543,526
561,539
581,550
599,559
614,567
630,580
638,579
652,583
657,580
