A,B
456,766
437,790
419,814
402,859
383,899
366,935
361,962
343,979
342,965
346,934
360,882
380,818
401,751
422,691
446,639
464,605
477,581
488,567
499,556
514,549
527,549
535,560
532,591
519,639
493,699
458,773
422,842
390,905
368,950
358,975
368,979
375,970
397,941
420,904
447,855
468,803
485,748
500,695
510,632
525,563
528,499
532,438
544,380
555,327
568,279
582,237
598,194
614,157
626,132
641,100
641,89
644,82
646,80
648,83
648,90
652,103
648,125
654,148
651,172
645,201
640,234
635,266
629,299
621,333
616,367
607,399
597,430
583,458
564,479
542,495
520,509
503,518
475,526
456,534
436,543
420,553
406,562
396,573
388,580
385,587
384,591
386,594
399,591
399,586
407,577
416,566
431,550
432,541
436,527
442,517
449,510
455,502
462,497
470,491
478,486
482,479
485,473
486,467
486,464
485,464
481,468
479,478
478,490
478,507
470,514
464,535
457,551
451,565
444,576
442,586
439,596
437,602
432,607
438,612
437,615
438,615
441,615
444,613
449,604
458,592
468,578
479,559
493,538
506,519
515,502
526,491
532,483
533,479
532,473
528,470
528,464
526,459
525,451
528,448
528,442
529,438
528,435
528,434
530,440
532,431
534,434
539,434
543,433
554,433
563,431
571,422
577,433
584,433
588,433
589,434
593,433
593,434
596,436
599,441
603,450
603,461
604,475
608,490
603,502
606,515
603,527
599,537
592,545
582,550
569,555
553,566
537,561
524,566
511,571
503,578
500,587
499,594
500,604
499,607
499,610
496,607
493,604
489,597
485,587
482,578
479,566
478,555
479,545
482,533
486,528
492,512
496,501
496,494
496,487
488,481
488,476
481,470
480,458
477,447
475,437
476,425
477,414
479,403
482,399
486,391
488,390
494,393
501,398
511,405
522,411
532,415
539,420
541,422
536,428
529,422
516,422
502,420
486,419
478,415
474,412
476,404
488,405
501,408
515,415
528,425
536,441
542,458
545,475
546,489
541,503
535,510
528,515
525,519
510,525
502,515
494,514
489,513
487,512
488,512
489,511
492,511
492,512
492,515
489,520
484,526
480,531
481,532
474,533
474,529
475,523
478,516
482,510
485,504
488,498
489,494
492,487
495,487
498,483
500,478
501,471
502,466
502,466
499,455
495,453
492,452
490,453
487,457
485,460
485,466
486,467
488,461
488,469
494,471
495,475
507,475
509,478
510,479
513,481
516,483
520,484
521,486
524,484
525,483
525,480
528,477
525,477
528,475
529,478
536,483
542,494
548,507
553,531
556,540
556,553
560,563
560,571
561,579
562,583
564,586
559,587
555,586
547,581
538,576
528,570
515,565
504,565
488,569
472,578
458,593
445,611
436,629
428,648
428,665
429,679
436,689
444,690
452,692
463,685
460,671
462,660
460,643
462,623
463,613
468,597
476,581
484,568
495,556
506,548
517,543
528,540
538,543
545,546
549,547
549,548
547,547
544,544
540,541
535,532
528,528
528,519
526,508
524,498
526,486
521,475
519,466
514,458
508,454
500,451
493,452
486,452
482,451
479,447
479,442
478,434
479,423
482,417
486,410
491,405
