A,B
392,515
384,501
376,491
370,483
362,479
360,479
354,488
358,499
360,514
366,534
369,552
384,572
395,587
409,598
429,604
447,606
465,607
483,603
499,599
511,595
518,590
524,582
527,572
521,562
529,551
517,538
511,522
503,509
494,493
486,479
477,467
470,456
463,448
461,444
458,439
456,438
460,439
463,442
468,443
473,447
488,451
494,453
509,457
515,461
526,463
536,472
545,469
555,468
562,467
568,467
570,459
569,458
568,454
565,450
564,447
564,448
567,451
568,457
572,463
572,477
574,487
576,495
577,502
581,506
586,507
591,507
596,519
601,515
605,522
609,532
612,546
615,559
617,575
618,586
617,591
618,591
611,587
609,578
605,566
600,559
594,540
586,529
576,517
565,509
552,506
541,503
528,517
527,524
523,545
533,572
532,591
544,611
555,629
570,639
580,644
592,644
596,642
603,637
604,634
604,623
599,615
594,605
587,591
572,579
561,562
547,546
533,527
518,509
504,494
492,479
478,469
467,463
456,459
452,457
448,457
450,457
450,458
455,461
461,468
472,475
480,486
491,495
501,505
508,508
514,515
514,519
516,508
512,498
506,484
498,466
485,450
474,435
452,415
434,403
418,395
400,385
384,384
373,383
364,387
361,394
357,400
358,409
368,417
365,431
371,440
380,452
389,468
401,485
414,503
428,518
441,538
455,553
469,561
482,564
495,563
502,558
511,543
511,535
505,522
502,506
497,488
491,468
488,452
484,435
484,421
481,412
482,406
481,403
484,409
488,415
488,431
493,450
501,469
509,493
519,511
530,534
542,553
554,575
567,581
580,590
588,594
596,595
603,595
608,586
609,578
609,564
604,554
596,539
589,525
578,512
568,502
558,490
548,486
536,479
524,475
515,474
503,480
492,478
482,484
476,490
470,498
466,503
463,511
469,514
472,520
479,523
486,527
493,531
501,534
508,535
512,537
518,538
521,538
526,538
529,536
531,534
537,530
539,525
540,517
540,510
536,503
531,495
526,490
524,486
520,487
518,489
516,493
513,499
510,505
508,512
500,517
496,523
492,526
490,527
489,535
489,525
489,522
494,519
497,514
500,512
501,512
502,510
508,511
510,510
512,508
514,504
518,499
516,496
518,495
519,495
524,505
528,510
534,520
542,535
550,552
558,569
568,584
576,601
594,613
613,620
632,626
653,628
674,629
684,628
707,635
714,623
719,617
722,611
723,602
721,593
711,588
710,575
702,560
688,551
671,541
652,532
626,528
601,519
576,519
553,503
532,493
515,485
502,478
492,473
493,470
479,479
479,490
478,505
478,520
479,534
474,545
476,546
470,541
460,535
451,523
433,504
410,489
394,472
372,455
351,439
331,427
317,419
304,408
297,411
294,409
294,407
298,412
306,415
313,424
328,430
341,440
354,450
368,457
382,465
393,471
408,478
418,479
433,485
447,487
460,490
473,494
485,504
495,504
502,512
504,518
506,524
508,530
507,537
508,542
510,547
511,554
516,561
517,568
520,575
524,582
527,593
529,595
530,601
532,603
535,604
536,606
538,613
542,598
549,588
546,575
545,561
543,543
536,527
527,512
518,488
505,487
490,480
480,483
468,487
458,495
446,506
438,515
436,527
440,537
445,548
456,561
472,575
486,593
502,612
516,629
532,643
546,654
559,659
571,655
580,647
589,633
596,612
600,585
600,559
596,532
588,508
569,486
566,466
552,455
540,444
528,437
518,431
510,429
502,430
491,434
489,433
485,437
485,444
489,446
494,449
501,454
511,459
517,461
526,468
530,461
531,461
540,459
540,451
541,439
537,431
532,418
524,410
516,398
508,391
497,384
492,379
487,379
484,381
480,385
478,395
477,405
485,421
477,435
482,452
486,469
494,482
501,495
512,501
515,512
522,517
525,524
525,531
527,540
525,554
519,552
517,556
513,559
512,563
511,571
511,582
512,592
514,604
518,615
523,626
531,631
538,636
549,640
560,645
568,647
582,654
594,662
600,671
607,677
609,678
613,692
616,692
616,693
618,691
612,684
602,675
592,663
575,651
556,635
536,619
518,605
500,589
493,572
477,559
463,549
454,540
444,532
435,527
425,524
412,523
406,522
398,521
392,524
388,522
389,518
385,517
387,513
390,509
396,503
404,498
414,494
424,490
436,487
450,479
459,471
469,462
475,461
476,436
480,422
479,409
474,396
467,384
467,379
450,369
440,362
432,353
428,348
428,343
429,339
433,335
444,335
446,331
460,331
464,333
473,337
483,345
493,351
502,362
511,370
520,379
529,388
539,396
548,403
559,415
562,419
567,421
570,425
576,426
576,424
580,424
584,419
587,417
592,415
596,414
592,418
604,414
604,415
604,415
603,410
600,408
598,405
594,405
593,410
592,419
594,433
596,447
595,463
595,478
592,491
590,502
582,511
573,519
564,515
556,528
546,530
536,527
523,525
511,519
500,514
490,504
485,503
484,499
478,498
478,500
478,504
475,512
475,519
478,528
483,539
495,549
508,559
521,570
543,576
542,586
557,594
561,598
561,599
558,599
551,598
544,599
535,586
528,575
520,568
516,556
509,548
499,548
497,535
490,529
481,521
475,513
472,508
468,510
468,507
476,511
485,518
498,523
511,525
528,526
546,524
566,519
585,516
603,511
618,504
632,495
639,484
644,471
646,456
643,440
634,429
623,421
610,417
592,415
575,419
553,424
532,433
512,445
493,451
474,460
460,466
446,481
438,494
433,508
432,524
435,540
439,557
444,574
448,588
452,599
452,610
452,612
449,614
447,611
443,607
436,595
433,588
428,574
423,560
417,545
416,530
415,519
416,510
417,505
423,502
