,Unnamed: 0,A,B
14523,14523,506,549
14524,14524,506,545
14525,14525,513,544
14526,14526,517,540
14527,14527,522,539
14528,14528,524,536
14529,14529,528,535
14530,14530,530,535
14531,14531,533,535
14532,14532,530,536
14533,14533,531,534
14534,14534,532,529
14535,14535,529,531
14536,14536,533,529
14537,14537,532,525
14538,14538,533,526
14539,14539,533,524
14540,14540,531,526
14541,14541,531,519
14542,14542,529,526
14543,14543,525,523
14544,14544,524,522
14545,14545,522,519
14546,14546,523,515
14547,14547,524,510
14548,14548,524,505
14549,14549,526,499
14550,14550,525,498
14551,14551,525,486
14552,14552,520,477
14553,14553,520,477
14554,14554,514,467
14555,14555,511,463
14556,14556,504,462
14557,14557,506,460
14558,14558,498,462
14559,14559,498,466
14560,14560,500,468
14561,14561,503,473
14562,14562,510,479
14563,14563,514,486
14564,14564,520,493
14565,14565,525,495
14566,14566,530,500
14567,14567,531,498
14568,14568,533,500
14569,14569,531,499
14570,14570,533,500
14571,14571,533,499
14572,14572,532,500
14573,14573,528,500
14574,14574,524,503
14575,14575,525,498
14576,14576,522,509
14577,14577,517,501
14578,14578,511,495
14579,14579,509,492
14580,14580,506,490
14581,14581,509,490
14582,14582,510,491
14583,14583,516,493
14584,14584,520,497
14585,14585,525,501
14586,14586,523,505
14587,14587,526,509
14588,14588,525,512
14589,14589,525,518
14590,14590,524,522
14591,14591,522,525
14592,14592,521,527
14593,14593,521,527
14594,14594,522,531
14595,14595,520,532
14596,14596,521,535
14597,14597,518,539
14598,14598,518,545
14599,14599,515,554
14600,14600,514,552
14601,14601,513,551
14602,14602,513,551
14603,14603,513,546
14604,14604,513,542
14605,14605,514,541
14606,14606,512,532
14607,14607,513,531
14608,14608,514,524
14609,14609,512,522
14610,14610,515,515
14611,14611,515,513
14612,14612,519,503
14613,14613,525,497
14614,14614,540,495
14615,14615,533,489
14616,14616,534,487
14617,14617,535,490
14618,14618,537,495
14619,14619,535,498
14620,14620,533,503
14621,14621,530,506
14622,14622,530,508
14623,14623,529,506
14624,14624,530,503
14625,14625,530,499
14626,14626,531,498
14627,14627,529,494
14628,14628,535,493
14629,14629,519,491
14630,14630,513,489
14631,14631,507,491
14632,14632,500,491
14633,14633,495,490
14634,14634,489,489
14635,14635,489,485
14636,14636,480,483
14637,14637,476,482
14638,14638,470,476
14639,14639,468,473
14640,14640,466,468
14641,14641,465,468
14642,14642,464,471
14643,14643,466,465
14644,14644,472,462
14645,14645,477,463
14646,14646,484,463
14647,14647,490,467
14648,14648,498,471
14649,14649,504,476
14650,14650,511,484
14651,14651,514,491
14652,14652,518,500
14653,14653,519,504
14654,14654,520,512
14655,14655,517,514
14656,14656,517,519
14657,14657,513,522
14658,14658,508,527
14659,14659,501,527
14660,14660,493,526
14661,14661,490,521
14662,14662,485,517
14663,14663,477,516
14664,14664,472,511
14665,14665,468,507
14666,14666,466,502
14667,14667,466,500
14668,14668,463,495
14669,14669,464,495
14670,14670,472,491
14671,14671,468,486
14672,14672,472,484
14673,14673,476,484
14674,14674,482,487
14675,14675,486,491
14676,14676,491,496
14677,14677,497,499
14678,14678,504,504
14679,14679,511,512
14680,14680,514,508
14681,14681,516,507
14682,14682,524,508
14683,14683,522,505
14684,14684,521,507
14685,14685,520,506
14686,14686,517,507
14687,14687,515,508
14688,14688,510,507
14689,14689,506,507
14690,14690,502,504
14691,14691,499,503
14692,14692,498,501
14693,14693,496,499
14694,14694,500,493
14695,14695,504,492
14696,14696,504,488
14697,14697,501,487
14698,14698,501,481
14699,14699,500,479
14700,14700,497,479
14701,14701,497,478
14702,14702,498,481
14703,14703,500,484
14704,14704,506,492
14705,14705,508,496
14706,14706,513,503
14707,14707,514,504
14708,14708,521,506
14709,14709,522,515
14710,14710,521,507
14711,14711,518,506
14712,14712,517,509
14713,14713,522,508
14714,14714,515,516
14715,14715,515,521
14716,14716,514,526
14717,14717,515,538
14718,14718,513,543
14719,14719,511,548
14720,14720,511,551
14721,14721,512,553
14722,14722,512,551
14723,14723,513,551
14724,14724,516,549
14725,14725,511,546
14726,14726,511,543
14727,14727,510,543
14728,14728,508,538
14729,14729,508,535
14730,14730,507,531
14731,14731,508,525
14732,14732,509,518
14733,14733,511,513
14734,14734,511,512
14735,14735,520,510
14736,14736,520,512
14737,14737,524,512
14738,14738,530,515
14739,14739,532,515
14740,14740,538,517
14741,14741,541,515
14742,14742,541,514
14743,14743,549,515
14744,14744,541,509
14745,14745,536,507
14746,14746,529,503
14747,14747,524,509
14748,14748,520,508
14749,14749,516,512
14750,14750,510,514
14751,14751,510,518
14752,14752,508,519
14753,14753,510,524
14754,14754,511,523
14755,14755,514,526
14756,14756,520,527
14757,14757,525,527
14758,14758,524,530
14759,14759,532,527
14760,14760,535,531
14761,14761,536,533
14762,14762,536,540
14763,14763,532,543
14764,14764,531,547
14765,14765,526,542
14766,14766,524,548
14767,14767,518,542
14768,14768,519,535
14769,14769,511,531
14770,14770,508,523
14771,14771,504,514
14772,14772,504,506
14773,14773,505,498
14774,14774,506,491
14775,14775,510,484
14776,14776,515,478
14777,14777,521,480
14778,14778,527,479
14779,14779,535,483
14780,14780,535,487
14781,14781,539,494
14782,14782,540,497
14783,14783,541,504
14784,14784,538,506
14785,14785,538,512
14786,14786,537,512
14787,14787,537,512
14788,14788,536,514
14789,14789,536,515
14790,14790,539,515
14791,14791,540,512
14792,14792,542,507
14793,14793,542,499
14794,14794,543,493
14795,14795,543,482
14796,14796,538,477
14797,14797,532,472
14798,14798,530,462
14799,14799,526,461
14800,14800,526,461
14801,14801,528,461
14802,14802,523,461
14803,14803,523,465
14804,14804,522,465
14805,14805,522,469
14806,14806,516,471
14807,14807,516,476
14808,14808,514,479
14809,14809,512,487
14810,14810,510,493
14811,14811,510,502
14812,14812,511,508
14813,14813,516,518
14814,14814,518,526
14815,14815,521,531
14816,14816,530,535
14817,14817,534,541
14818,14818,539,542
14819,14819,540,540
14820,14820,542,536
14821,14821,542,534
14822,14822,540,533
14823,14823,536,529
14824,14824,533,529
14825,14825,529,522
14826,14826,523,526
14827,14827,513,523
14828,14828,518,522
14829,14829,517,526
14830,14830,516,527
14831,14831,515,532
14832,14832,512,534
14833,14833,513,540
14834,14834,510,543
14835,14835,510,546
14836,14836,507,545
14837,14837,509,547
14838,14838,510,546
14839,14839,511,545
14840,14840,509,541
14841,14841,512,539
14842,14842,511,535
14843,14843,508,531
14844,14844,508,526
14845,14845,505,522
14846,14846,503,520
14847,14847,498,518
14848,14848,495,518
14849,14849,493,513
14850,14850,494,513
14851,14851,494,509
14852,14852,496,509
14853,14853,497,507
14854,14854,500,508
14855,14855,502,510
14856,14856,504,517
14857,14857,502,522
14858,14858,507,529
14859,14859,508,537
14860,14860,508,543
14861,14861,513,547
14862,14862,508,543
14863,14863,510,545
14864,14864,507,538
14865,14865,504,537
14866,14866,499,529
14867,14867,497,520
14868,14868,492,522
14869,14869,485,516
14870,14870,479,513
14871,14871,475,507
14872,14872,472,500
14873,14873,470,487
14874,14874,469,487
14875,14875,468,479
14876,14876,470,478
14877,14877,471,474
14878,14878,473,475
14879,14879,474,474
14880,14880,476,477
14881,14881,476,479
14882,14882,477,484
14883,14883,477,484
14884,14884,479,495
14885,14885,480,495
14886,14886,484,499
14887,14887,487,506
14888,14888,487,507
14889,14889,490,518
14890,14890,488,522
14891,14891,489,529
14892,14892,485,530
14893,14893,485,535
14894,14894,481,536
14895,14895,480,537
14896,14896,474,536
14897,14897,470,535
14898,14898,472,538
14899,14899,465,536
14900,14900,463,536
14901,14901,462,537
14902,14902,464,543
14903,14903,464,546
14904,14904,468,547
14905,14905,468,546
14906,14906,474,547
14907,14907,474,541
14908,14908,476,549
14909,14909,478,535
14910,14910,480,532
14911,14911,481,528
14912,14912,487,523
14913,14913,485,519
