A,B
462,412
460,411
461,407
462,400
465,397
468,392
472,389
474,386
484,389
493,390
501,393
511,396
522,401
533,404
541,411
546,415
550,419
552,423
547,430
545,438
540,446
532,458
519,463
510,476
500,482
489,485
485,489
478,491
475,494
474,498
471,503
472,506
476,508
478,509
482,510
486,510
491,512
501,514
500,523
504,529
509,535
516,540
525,537
532,532
540,524
539,513
546,499
547,493
545,489
545,491
543,498
542,509
540,524
536,537
538,542
532,545
532,543
532,541
534,540
534,546
533,557
532,571
525,579
521,574
521,548
531,497
545,426
566,347
584,279
593,232
593,213
575,229
554,273
526,336
499,406
471,475
455,535
446,574
447,595
453,602
469,593
477,580
493,561
508,539
527,518
540,502
556,487
570,476
580,471
584,470
584,475
587,484
571,500
558,520
544,543
528,563
514,583
502,603
490,622
481,635
472,654
464,670
455,683
450,695
441,701
438,705
441,704
428,703
425,699
425,693
425,687
433,681
441,675
452,654
466,635
479,614
493,591
503,570
511,551
521,537
524,526
532,517
546,515
561,517
583,527
604,541
624,559
639,575
648,591
652,601
648,611
643,616
636,623
619,623
603,639
587,650
569,658
549,663
532,667
516,665
501,657
490,653
479,631
475,612
471,593
468,572
466,552
462,532
457,519
458,501
458,486
454,470
452,455
453,437
458,422
466,405
478,395
476,385
481,379
482,377
480,377
477,376
472,375
468,375
466,375
457,374
452,375
446,380
441,393
436,391
442,401
432,402
432,403
436,407
442,407
454,409
462,415
490,415
496,415
509,424
519,417
526,420
531,419
535,416
541,416
544,413
548,410
553,405
556,400
559,395
563,389
564,385
565,380
564,376
559,373
560,371
558,371
554,373
555,376
552,380
550,384
546,388
541,389
536,393
530,397
524,405
519,415
516,426
512,439
510,451
509,463
507,485
504,491
509,506
502,523
501,539
500,554
496,567
495,574
494,587
494,594
498,600
504,605
508,607
511,607
516,603
517,598
518,595
515,594
512,600
506,610
496,628
483,648
469,669
450,686
438,703
412,709
400,709
383,708
370,699
361,687
354,670
356,661
361,640
371,628
385,611
402,598
417,582
436,566
447,550
461,535
474,519
487,511
501,500
521,494
529,493
542,492
555,492
568,491
578,489
586,487
592,487
592,488
592,483
590,490
587,489
583,486
580,484
578,477
575,468
572,461
568,452
561,446
556,439
549,436
544,433
544,429
542,431
536,425
538,425
538,428
534,431
532,435
530,442
529,450
529,458
532,468
532,478
535,487
537,496
543,505
545,512
543,513
536,516
535,517
536,517
535,513
535,509
536,505
538,500
536,495
538,490
539,490
540,487
542,487
542,489
543,497
545,505
544,514
550,523
539,533
534,541
530,543
524,543
521,543
520,543
516,540
512,538
508,536
504,533
496,530
491,527
485,527
481,517
478,519
478,514
477,509
479,501
482,495
484,492
488,490
492,489
496,490
498,491
500,493
500,500
496,502
495,506
490,516
486,526
482,535
478,543
476,552
476,558
475,562
477,564
480,568
484,570
487,572
481,576
479,573
476,574
475,571
476,567
476,569
486,568
492,570
498,570
499,571
497,570
494,566
488,563
481,559
473,554
473,553
456,546
445,542
436,539
426,534
417,530
412,526
409,524
405,522
403,519
400,517
392,516
386,518
379,520
372,526
364,530
357,535
352,535
346,548
341,541
330,539
318,538
300,535
280,533
260,523
241,527
234,523
234,518
241,514
253,512
267,507
290,517
317,502
358,497
401,489
450,481
496,474
533,470
564,466
583,465
596,466
603,465
604,463
600,461
593,457
585,455
574,455
562,456
548,463
533,468
517,479
504,492
498,505
496,518
499,520
511,523
524,515
539,507
556,497
572,490
588,485
604,483
621,482
639,482
657,479
680,481
697,467
716,468
732,466
748,467
760,470
768,474
776,476
784,479
789,479
794,478
798,476
802,475
807,473
808,471
811,473
812,476
814,479
813,486
810,487
812,499
808,503
800,506
787,508
771,507
746,502
716,493
681,483
648,473
615,461
596,455
562,447
540,457
517,454
492,457
468,463
434,471
406,479
384,483
365,489
358,493
358,495
363,497
381,499
400,502
422,507
444,512
466,514
484,513
500,510
511,499
520,499
530,498
535,485
548,485
557,484
568,487
580,488
593,489
606,485
620,478
628,467
636,458
634,457
639,450
636,450
632,453
628,457
622,463
615,470
607,476
600,485
593,492
587,499
584,507
584,515
586,521
591,529
596,535
602,540
603,546
604,551
602,557
596,559
586,562
576,565
564,569
552,571
537,574
525,571
511,567
497,559
484,552
472,545
460,542
452,541
447,551
446,549
450,555
456,563
467,570
479,577
488,578
493,585
497,588
497,589
497,585
494,585
490,582
486,584
483,579
489,577
480,570
481,565
484,557
491,545
495,537
500,527
500,519
500,514
496,507
493,502
488,491
489,487
481,474
475,465
473,460
472,456
470,460
472,464
467,471
471,472
473,467
474,452
480,429
497,398
494,372
506,350
511,340
512,342
509,354
500,374
494,393
475,411
461,431
444,431
432,430
416,429
404,429
394,427
387,426
387,422
388,415
398,409
411,399
426,397
441,397
451,399
461,426
466,446
473,476
476,506
480,537
481,564
482,588
477,606
468,617
455,620
439,623
427,620
397,615
380,607
362,600
346,595
334,589
326,584
318,582
318,578
322,574
322,574
335,573
344,573
356,570
367,566
377,564
387,563
397,563
408,564
421,569
435,569
450,570
465,573
481,578
496,592
511,607
526,629
544,651
561,673
573,691
584,703
589,708
590,700
593,670
600,621
612,549
629,466
650,385
665,326
666,293
658,295
630,328
596,384
556,452
518,521
487,580
467,623
452,649
447,660
440,663
440,654
435,639
431,619
430,595
432,569
439,542
444,519
457,500
473,482
484,470
500,462
511,460
517,468
528,471
531,485
530,498
528,509
527,520
524,527
522,531
522,533
521,534
521,534
520,537
520,539
517,542
513,544
511,547
508,548
504,548
501,550
497,544
496,549
498,547
502,546
508,541
513,536
514,531
513,526
505,522
494,534
481,545
466,561
449,578
433,596
416,610
393,622
368,631
321,637
272,642
221,647
182,647
161,653
164,652
177,651
194,647
201,643
219,634
229,623
240,613
258,600
288,588
332,578
392,572
463,570
541,567
608,581
664,590
712,601
748,606
779,610
801,607
816,604
823,591
824,583
821,577
816,571
808,567
797,563
792,555
788,546
785,532
785,512
784,491
782,471
780,457
777,434
773,413
771,382
777,338
788,278
805,210
822,143
831,94
831,77
813,99
783,160
744,232
693,319
648,402
604,475
567,532
537,564
509,578
492,576
480,563
470,544
465,523
464,501
466,479
467,462
466,449
465,431
460,422
466,412
461,412
468,415
481,426
497,444
515,468
537,495
555,522
570,548
576,567
578,579
576,582
575,576
562,567
553,555
546,541
536,529
524,518
512,509
498,499
488,497
479,492
474,485
468,483
468,471
468,467
472,460
474,451
477,443
486,438
478,435
472,435
470,433
465,433
459,433
455,431
454,432
456,435
458,443
461,452
465,465
465,478
465,489
462,495
464,500
464,495
462,486
461,477
462,463
458,454
460,450
460,446
460,449
460,454
460,459
462,463
463,470
467,472
468,475
472,477
482,482
490,485
498,489
509,494
513,500
521,509
512,511
507,512
502,512
493,507
485,501
477,491
465,484
463,470
456,462
451,456
447,452
444,452
438,452
435,454
432,457
429,457
426,454
