A,B
564,482
564,482
563,486
560,488
558,494
561,499
558,506
556,511
554,515
547,519
544,514
533,512
524,508
514,506
504,504
497,504
493,503
492,505
494,506
494,508
498,509
498,512
499,513
499,513
498,514
492,511
494,502
494,500
494,492
497,486
495,479
502,475
506,474
516,472
527,474
539,483
552,494
558,510
562,527
565,543
566,559
566,571
566,580
568,586
574,588
578,591
580,591
584,595
586,597
588,598
592,600
594,599
596,596
594,588
593,577
585,566
577,551
568,536
558,522
547,506
539,495
529,485
522,475
508,469
498,465
486,459
475,453
458,446
441,443
427,436
411,429
398,423
390,418
386,417
390,420
399,428
410,438
428,452
442,463
458,475
464,479
472,479
470,478
470,471
465,465
456,458
450,447
442,438
436,429
426,417
420,406
412,398
406,394
401,380
400,377
392,374
400,378
404,383
412,394
420,406
431,421
440,434
450,445
459,463
467,478
477,493
484,508
503,521
511,535
514,549
533,557
539,564
544,569
544,574
544,574
542,571
540,567
536,559
533,554
526,546
520,536
512,527
502,520
492,516
491,510
481,506
481,513
484,517
492,524
508,531
512,543
520,557
529,570
536,586
542,604
545,619
550,639
558,644
555,654
558,655
564,650
571,639
576,620
581,602
584,580
582,559
580,538
575,522
572,511
567,501
568,496
571,495
584,501
584,503
596,516
599,517
607,528
612,541
625,554
623,571
628,587
636,600
638,611
642,613
639,615
632,615
632,605
618,591
608,577
593,564
580,552
562,541
544,530
528,521
509,512
494,500
481,494
469,482
461,473
455,462
450,461
448,447
446,451
445,461
447,476
450,489
457,510
463,525
468,535
475,543
471,549
467,555
456,555
448,554
441,551
426,535
413,523
408,512
399,502
392,493
387,485
382,478
381,479
374,467
392,461
402,458
417,457
437,459
456,469
481,479
507,493
530,509
549,525
567,541
580,553
590,562
595,571
592,573
593,570
588,564
581,564
573,538
561,519
548,499
530,477
509,452
495,431
480,413
466,398
460,388
446,383
439,384
438,387
433,391
434,411
436,411
442,422
452,434
464,446
475,463
493,479
510,502
530,525
541,551
554,574
566,591
580,606
577,604
578,599
572,589
563,567
556,552
538,537
528,518
517,502
509,487
500,474
496,462
493,452
491,443
488,435
491,430
484,430
480,431
477,437
478,445
479,458
484,471
497,492
499,501
508,516
512,530
516,540
517,548
517,550
517,551
513,546
508,537
504,525
496,512
486,497
484,485
462,469
450,456
440,443
432,431
426,417
421,418
420,417
417,423
418,431
420,447
425,465
435,485
447,507
466,531
480,546
497,564
514,577
528,590
538,598
546,603
552,604
557,604
563,599
568,593
570,584
576,574
581,565
583,560
586,562
585,570
583,578
587,593
574,607
568,619
560,627
553,629
553,631
537,620
532,618
530,609
529,603
530,598
530,591
530,583
532,577
533,568
534,559
537,548
539,534
543,517
544,499
544,479
544,463
540,450
535,442
532,439
526,450
524,446
522,454
520,463
520,471
520,481
524,490
526,500
530,506
534,512
538,515
542,521
545,523
552,524
554,525
555,523
553,518
549,510
541,501
524,497
515,488
502,479
491,477
481,467
476,468
466,465
462,463
460,462
459,462
462,463
468,464
469,476
476,482
483,493
496,502
496,513
502,526
509,537
512,553
519,566
521,579
523,593
522,600
524,607
523,607
522,602
521,594
521,583
524,572
518,559
513,545
505,532
498,516
488,501
477,485
466,471
457,461
452,453
447,453
445,454
450,459
453,466
462,473
468,479
478,484
489,489
499,493
505,491
512,490
517,485
520,481
525,479
521,478
522,483
522,490
524,499
522,506
520,512
519,510
510,509
501,505
492,502
481,499
473,498
463,498
454,501
448,506
447,518
438,543
441,559
441,580
442,598
441,615
451,622
454,631
457,631
460,632
458,622
456,610
452,597
448,576
440,565
440,557
434,529
436,515
436,503
438,493
440,485
442,479
443,471
451,463
454,456
456,458
460,444
464,441
467,439
473,440
480,440
490,445
501,452
512,460
525,470
536,480
548,489
557,499
565,508
570,514
575,521
577,524
577,533
575,523
571,516
568,507
561,495
556,481
552,464
549,455
550,444
552,437
556,423
562,424
568,431
578,436
589,442
597,451
608,459
618,468
630,477
641,482
650,489
663,497
670,503
676,510
676,517
670,519
664,521
648,515
633,506
613,491
595,471
581,454
562,435
537,421
527,408
516,399
506,389
498,381
490,379
485,372
480,370
478,374
477,381
479,390
483,402
492,417
500,432
511,450
522,466
530,480
536,495
534,507
525,519
522,530
507,539
494,545
480,547
462,545
448,538
436,530
428,519
424,513
425,510
428,509
436,512
444,513
454,523
463,526
473,527
486,531
498,526
513,524
528,526
544,527
562,535
581,543
600,552
624,562
642,571
660,576
672,576
677,574
677,570
676,558
668,542
656,521
642,501
630,482
622,468
615,442
606,423
602,410
602,397
604,388
608,383
611,384
617,385
617,394
618,407
616,419
612,434
608,449
604,461
595,473
587,481
578,490
570,494
559,497
549,498
536,502
521,503
505,506
493,510
473,515
457,520
446,523
436,524
