A,B
508,518
509,516
511,516
510,517
512,518
513,521
517,527
521,533
526,538
532,547
537,557
539,573
540,586
539,604
538,623
536,642
531,655
530,664
528,663
519,659
511,646
500,634
488,609
479,586
473,561
467,538
461,517
460,487
461,474
464,457
467,439
472,423
478,410
487,394
494,383
504,370
512,361
525,349
521,342
520,338
512,337
502,337
492,342
484,345
478,348
476,350
480,351
489,351
499,350
512,353
525,358
537,363
548,373
555,384
562,395
565,406
567,425
569,425
569,433
568,439
562,445
562,439
556,440
548,442
540,431
526,427
519,423
510,417
503,414
500,412
498,410
500,411
500,413
501,419
504,427
506,433
504,439
505,440
508,439
502,437
498,436
493,435
488,435
481,433
475,433
471,434
470,439
465,434
464,438
461,441
465,449
459,459
461,468
466,479
473,493
484,507
495,519
504,533
514,546
520,563
524,574
522,586
518,600
514,607
508,618
498,626
494,632
480,639
472,641
463,640
460,638
457,633
456,628
458,623
459,622
462,622
470,623
473,627
481,630
494,632
507,633
521,634
533,631
543,630
549,627
552,629
550,635
545,650
538,670
531,698
525,728
520,759
518,783
509,789
505,803
504,794
496,774
496,753
494,727
491,703
491,682
492,662
500,649
506,634
516,623
528,608
540,591
549,572
558,549
563,525
562,513
562,483
557,464
556,447
549,433
548,421
546,410
546,411
546,389
545,378
545,366
538,354
542,343
540,335
541,330
540,327
541,329
542,334
543,338
543,341
542,346
539,351
535,361
526,370
519,382
511,394
503,405
499,414
497,419
496,421
497,419
498,417
498,414
502,409
506,405
510,404
516,402
523,399
534,403
545,406
557,411
568,419
584,431
590,445
598,463
602,479
613,499
604,514
600,526
594,536
585,539
575,538
563,531
547,523
537,512
523,499
511,484
501,471
495,458
490,446
489,431
489,429
492,427
494,429
500,437
505,447
510,461
517,475
521,487
524,497
527,501
526,499
522,495
516,488
512,481
505,472
498,464
494,459
487,454
480,453
477,451
473,452
471,456
467,463
468,469
467,477
467,486
470,493
469,499
468,502
468,511
466,503
465,498
464,492
462,482
462,473
461,463
460,454
460,449
459,447
468,443
464,450
468,452
474,457
479,461
483,464
482,465
488,467
489,469
484,470
486,473
488,476
488,477
491,482
494,486
499,492
506,499
511,505
516,510
520,515
521,518
521,519
518,519
511,515
513,510
495,503
484,496
478,493
457,484
445,479
430,477
419,484
408,471
400,465
401,460
396,453
400,446
404,439
412,434
416,431
421,430
430,433
423,431
421,436
421,438
424,443
427,446
432,447
440,449
446,450
457,453
465,455
476,458
477,463
480,472
483,482
487,495
490,508
493,526
495,542
497,559
499,573
501,588
503,599
504,610
512,614
512,622
517,625
522,626
530,623
536,618
544,611
550,599
556,595
562,587
563,582
564,579
565,575
566,575
567,580
568,585
579,586
575,594
577,597
580,599
580,597
579,595
576,599
570,592
565,591
558,591
546,587
540,586
532,580
523,573
523,563
523,551
524,540
532,523
533,513
540,502
553,493
553,483
559,475
563,471
566,468
569,466
572,469
568,467
564,467
561,473
562,478
556,482
553,485
550,488
545,488
539,490
539,489
528,492
522,494
517,497
514,499
513,503
514,507
516,515
516,521
520,529
517,540
514,551
509,559
500,566
489,572
478,575
463,580
460,575
455,573
450,570
456,562
456,557
462,548
468,542
483,543
486,538
494,538
501,540
511,541
522,540
530,542
537,536
542,532
545,527
548,527
547,525
546,525
544,523
541,523
536,521
528,520
525,518
520,517
515,515
512,515
510,515
510,514
511,514
512,517
517,522
522,526
528,534
536,541
542,547
545,555
553,563
556,569
552,581
557,580
553,580
549,582
544,575
540,569
534,563
531,558
527,551
524,545
525,538
526,528
527,525
529,517
529,512
527,509
524,510
522,512
520,514
519,518
518,522
520,528
520,532
517,540
523,543
524,546
524,548
524,546
522,542
519,536
515,527
510,518
505,509
500,501
497,495
497,490
499,483
500,479
506,477
514,476
521,475
529,476
534,478
540,478
541,476
544,473
545,465
548,457
543,449
542,439
542,430
533,425
526,419
517,415
510,409
503,404
508,402
492,402
489,404
488,409
488,416
491,427
497,440
504,454
508,473
515,490
520,508
525,525
524,540
531,559
530,573
528,585
528,594
522,604
520,606
514,605
509,601
504,598
495,594
484,591
474,587
463,591
454,580
448,575
447,570
453,563
463,554
479,546
497,536
511,523
524,514
535,507
543,507
545,496
548,493
544,489
540,484
533,479
522,472
514,465
503,460
492,455
482,451
473,448
465,446
460,453
456,447
456,451
456,456
458,463
462,471
463,482
467,488
470,499
473,503
478,507
476,511
475,514
474,515
466,517
461,518
449,517
442,512
430,508
427,494
424,482
424,471
424,462
426,455
432,455
433,453
436,454
442,460
454,471
460,478
467,493
476,512
484,527
492,545
498,562
509,570
511,579
516,577
519,574
518,567
516,560
511,550
504,541
500,533
499,525
498,521
503,519
508,512
515,515
522,513
525,513
534,508
536,507
537,507
538,511
535,522
529,534
522,553
522,561
520,570
519,573
520,570
522,565
526,555
528,543
533,535
533,528
538,523
538,523
541,522
542,523
546,523
550,525
552,526
552,526
555,526
555,524
558,526
560,523
561,520
565,518
569,514
575,509
580,504
584,500
586,494
587,493
588,493
586,492
579,495
583,495
582,497
581,498
578,499
576,502
573,507
568,513
562,517
559,521
554,525
553,528
552,524
552,522
551,517
557,510
543,505
528,499
522,494
509,490
501,484
484,486
470,487
462,489
453,491
447,493
443,489
453,474
447,442
456,385
467,303
483,220
497,149
513,110
524,105
530,119
534,140
530,158
526,170
524,183
509,194
497,207
488,217
481,232
477,247
477,273
481,310
487,363
501,426
509,493
529,552
545,603
564,648
579,686
591,721
599,753
607,783
613,806
614,826
616,839
614,855
612,854
609,855
601,854
593,851
581,850
568,847
553,850
533,847
518,847
505,842
492,835
486,823
479,808
485,790
474,773
472,757
468,742
462,730
452,719
442,712
430,707
417,706
406,702
399,698
393,695
392,687
402,674
397,659
402,651
408,635
413,618
417,602
420,585
423,566
428,549
433,532
435,516
437,502
441,489
444,483
444,484
446,472
447,471
446,469
445,463
441,462
440,452
438,447
436,439
439,425
436,422
435,416
436,414
433,411
430,407
426,407
423,406
417,404
413,401
411,398
412,395
413,391
419,387
430,383
439,382
452,382
467,385
482,394
498,408
512,419
526,436
537,453
549,469
558,483
566,497
572,504
579,522
579,533
582,543
580,554
592,567
600,579
607,591
616,607
619,621
618,632
617,649
612,662
605,671
595,678
593,687
588,693
581,703
571,710
566,727
557,748
549,772
551,798
538,827
534,851
534,863
533,876
533,870
529,853
532,824
534,783
