,Unnamed: 0,A,B
4398,4398,558,495
4399,4399,564,495
4400,4400,566,493
4401,4401,572,494
4402,4402,573,495
4403,4403,576,504
4404,4404,574,501
4405,4405,571,506
4406,4406,562,509
4407,4407,557,517
4408,4408,543,515
4409,4409,533,517
4410,4410,526,518
4411,4411,512,520
4412,4412,504,524
4413,4413,496,526
4414,4414,493,529
4415,4415,486,527
4416,4416,485,527
4417,4417,481,527
4418,4418,480,521
4419,4419,478,513
4420,4420,480,509
4421,4421,480,505
4422,4422,485,503
4423,4423,488,502
4424,4424,492,503
4425,4425,495,508
4426,4426,504,510
4427,4427,508,512
4428,4428,510,515
4429,4429,511,519
4430,4430,510,522
4431,4431,510,527
4432,4432,507,526
4433,4433,511,526
4434,4434,508,526
4435,4435,510,527
4436,4436,511,526
4437,4437,516,530
4438,4438,520,534
4439,4439,522,539
4440,4440,524,543
4441,4441,519,543
4442,4442,516,548
4443,4443,510,543
4444,4444,504,541
4445,4445,496,534
4446,4446,490,528
4447,4447,484,516
4448,4448,481,512
4449,4449,479,503
4450,4450,479,497
4451,4451,485,494
4452,4452,486,488
4453,4453,489,485
4454,4454,493,480
4455,4455,496,479
4456,4456,498,478
4457,4457,500,478
4458,4458,497,479
4459,4459,501,485
4460,4460,504,488
4461,4461,505,493
4462,4462,507,500
4463,4463,508,500
4464,4464,510,507
4465,4465,510,512
4466,4466,509,516
4467,4467,506,517
4468,4468,502,521
4469,4469,502,521
4470,4470,500,523
4471,4471,497,521
4472,4472,495,522
4473,4473,488,520
4474,4474,484,519
4475,4475,478,516
4476,4476,471,513
4477,4477,466,510
4478,4478,463,507
4479,4479,464,504
4480,4480,467,500
4481,4481,474,499
4482,4482,481,497
4483,4483,488,501
4484,4484,495,495
4485,4485,500,496
4486,4486,505,494
4487,4487,509,502
4488,4488,512,503
4489,4489,518,507
4490,4490,523,512
4491,4491,530,516
4492,4492,533,526
4493,4493,538,522
4494,4494,543,529
4495,4495,545,531
4496,4496,545,532
4497,4497,545,531
4498,4498,547,531
4499,4499,543,524
4500,4500,540,527
4501,4501,531,525
4502,4502,521,524
4503,4503,510,522
