,Unnamed: 0,A,B
8911,8911,536,498
8912,8912,539,504
8913,8913,542,510
8914,8914,543,514
8915,8915,542,518
8916,8916,541,523
8917,8917,538,527
8918,8918,536,534
8919,8919,533,535
8920,8920,536,542
8921,8921,534,546
8922,8922,536,549
8923,8923,532,544
8924,8924,531,550
8925,8925,525,550
8926,8926,518,548
8927,8927,512,543
8928,8928,502,542
8929,8929,497,532
8930,8930,491,523
8931,8931,485,518
8932,8932,478,509
8933,8933,480,503
8934,8934,472,495
8935,8935,470,498
8936,8936,465,492
8937,8937,464,492
8938,8938,460,491
8939,8939,456,491
8940,8940,460,491
8941,8941,462,490
8942,8942,465,492
8943,8943,466,491
8944,8944,470,490
8945,8945,471,489
8946,8946,474,490
8947,8947,474,492
8948,8948,476,494
8949,8949,475,491
8950,8950,476,496
8951,8951,475,497
8952,8952,477,497
8953,8953,476,497
8954,8954,478,499
8955,8955,480,499
8956,8956,479,495
8957,8957,480,495
8958,8958,480,496
8959,8959,485,491
8960,8960,492,486
8961,8961,490,485
8962,8962,490,483
8963,8963,496,484
8964,8964,498,485
8965,8965,501,487
8966,8966,502,491
8967,8967,504,494
8968,8968,510,497
8969,8969,514,499
8970,8970,520,501
8971,8971,522,500
8972,8972,526,500
8973,8973,527,499
8974,8974,524,500
8975,8975,524,498
8976,8976,526,496
8977,8977,522,495
8978,8978,522,495
8979,8979,522,493
8980,8980,524,494
8981,8981,525,495
8982,8982,527,490
8983,8983,530,495
8984,8984,527,495
8985,8985,521,501
8986,8986,525,502
8987,8987,522,505
8988,8988,518,506
8989,8989,516,512
8990,8990,512,513
8991,8991,513,520
8992,8992,511,517
8993,8993,512,519
8994,8994,512,518
8995,8995,513,520
8996,8996,513,519
8997,8997,511,518
8998,8998,512,517
8999,8999,510,514
9000,9000,511,514
9001,9001,509,508
9002,9002,512,507
9003,9003,516,503
9004,9004,521,500
9005,9005,524,496
9006,9006,530,497
9007,9007,534,495
9008,9008,536,495
9009,9009,537,495
9010,9010,537,498
9011,9011,538,501
9012,9012,530,505
9013,9013,525,511
9014,9014,520,513
9015,9015,515,521
9016,9016,511,527
9017,9017,506,530
9018,9018,503,533
9019,9019,503,535
9020,9020,506,538
9021,9021,502,538
9022,9022,503,534
9023,9023,506,527
9024,9024,507,532
9025,9025,508,530
9026,9026,509,527
9027,9027,509,525
9028,9028,511,521
9029,9029,509,518
9030,9030,508,515
9031,9031,505,510
9032,9032,504,510
9033,9033,503,510
9034,9034,500,518
9035,9035,504,517
9036,9036,509,521
9037,9037,514,525
9038,9038,518,527
9039,9039,519,530
9040,9040,528,527
9041,9041,528,528
9042,9042,526,527
9043,9043,525,526
9044,9044,522,523
9045,9045,523,524
9046,9046,517,522
9047,9047,518,522
9048,9048,518,520
9049,9049,521,521
9050,9050,523,520
9051,9051,525,522
9052,9052,528,520
9053,9053,534,517
9054,9054,535,516
9055,9055,532,511
9056,9056,532,508
9057,9057,528,506
9058,9058,524,506
9059,9059,517,506
9060,9060,512,509
9061,9061,505,504
9062,9062,500,511
9063,9063,493,512
9064,9064,486,510
9065,9065,479,508
9066,9066,476,503
9067,9067,476,501
9068,9068,474,500
9069,9069,473,508
9070,9070,475,502
9071,9071,478,508
9072,9072,481,511
9073,9073,485,517
9074,9074,486,517
9075,9075,491,523
9076,9076,494,526
9077,9077,499,527
9078,9078,502,525
9079,9079,508,525
9080,9080,512,523
9081,9081,518,520
9082,9082,522,518
9083,9083,527,514
9084,9084,534,515
9085,9085,532,507
9086,9086,535,513
9087,9087,532,503
9088,9088,531,505
9089,9089,529,499
9090,9090,526,511
9091,9091,519,509
9092,9092,514,512
9093,9093,511,513
9094,9094,508,515
9095,9095,508,515
9096,9096,509,516
9097,9097,512,516
9098,9098,516,514
9099,9099,523,517
9100,9100,528,518
9101,9101,535,522
9102,9102,537,527
9103,9103,540,531
9104,9104,540,538
9105,9105,540,545
9106,9106,538,549
9107,9107,537,550
9108,9108,538,547
9109,9109,531,547
9110,9110,528,547
9111,9111,522,541
9112,9112,518,537
9113,9113,513,531
9114,9114,509,527
9115,9115,498,522
9116,9116,496,517
9117,9117,488,512
9118,9118,478,506
9119,9119,477,502
9120,9120,476,498
9121,9121,479,493
9122,9122,477,494
9123,9123,478,494
9124,9124,484,493
9125,9125,487,493
9126,9126,492,493
9127,9127,499,494
9128,9128,504,497
9129,9129,511,501
9130,9130,515,505
9131,9131,523,513
9132,9132,522,511
9133,9133,531,515
9134,9134,533,512
9135,9135,536,506
9136,9136,537,497
9137,9137,535,486
9138,9138,532,471
9139,9139,527,459
9140,9140,523,447
9141,9141,518,438
9142,9142,525,430
9143,9143,516,427
9144,9144,516,426
9145,9145,520,427
9146,9146,525,430
9147,9147,529,433
9148,9148,535,439
9149,9149,541,443
9150,9150,548,450
9151,9151,554,454
9152,9152,560,459
9153,9153,562,461
9154,9154,567,467
9155,9155,570,473
9156,9156,564,473
9157,9157,562,477
9158,9158,556,478
9159,9159,551,481
9160,9160,545,482
9161,9161,543,487
9162,9162,538,488
9163,9163,538,492
9164,9164,533,494
9165,9165,537,501
9166,9166,536,495
9167,9167,532,493
9168,9168,531,490
9169,9169,530,486
9170,9170,527,486
9171,9171,524,484
9172,9172,519,486
9173,9173,516,487
9174,9174,517,491
9175,9175,525,496
9176,9176,519,498
9177,9177,519,500
9178,9178,515,503
9179,9179,517,500
9180,9180,514,496
9181,9181,510,493
9182,9182,507,494
9183,9183,497,483
9184,9184,492,479
9185,9185,490,478
9186,9186,484,475
9187,9187,481,478
9188,9188,478,479
9189,9189,476,485
9190,9190,472,490
9191,9191,468,497
9192,9192,471,503
9193,9193,471,508
9194,9194,478,515
9195,9195,472,516
9196,9196,475,519
9197,9197,475,520
9198,9198,476,523
9199,9199,477,524
9200,9200,478,527
9201,9201,476,527
9202,9202,476,531
9203,9203,475,527
9204,9204,474,538
9205,9205,475,540
9206,9206,477,541
9207,9207,480,543
9208,9208,482,541
9209,9209,486,539
9210,9210,489,543
9211,9211,488,530
9212,9212,488,525
9213,9213,486,522
9214,9214,483,515
9215,9215,482,513
9216,9216,478,507
9217,9217,480,509
9218,9218,481,509
9219,9219,482,514
9220,9220,485,518
9221,9221,488,522
9222,9222,488,535
9223,9223,493,535
9224,9224,492,542
9225,9225,491,548
9226,9226,492,553
9227,9227,495,555
9228,9228,496,555
9229,9229,497,557
9230,9230,502,559
9231,9231,504,559
9232,9232,509,562
9233,9233,512,562
9234,9234,513,566
9235,9235,517,567
9236,9236,519,571
9237,9237,522,573
9238,9238,524,575
9239,9239,527,578
9240,9240,529,582
9241,9241,531,588
9242,9242,531,591
9243,9243,534,598
9244,9244,537,599
9245,9245,540,599
9246,9246,544,596
9247,9247,547,593
9248,9248,552,581
9249,9249,552,571
9250,9250,553,563
9251,9251,552,551
9252,9252,551,546
9253,9253,552,543
9254,9254,547,537
9255,9255,546,535
9256,9256,549,535
9257,9257,550,534
9258,9258,554,534
9259,9259,554,534
9260,9260,559,536
9261,9261,563,535
9262,9262,561,538
9263,9263,561,537
9264,9264,562,538
9265,9265,565,543
9266,9266,560,542
9267,9267,559,545
9268,9268,558,548
9269,9269,557,553
9270,9270,554,559
9271,9271,549,567
9272,9272,542,570
9273,9273,533,573
9274,9274,522,572
9275,9275,509,571
9276,9276,495,565
9277,9277,484,560
9278,9278,472,554
9279,9279,463,545
9280,9280,454,535
9281,9281,443,526
9282,9282,444,512
9283,9283,440,513
9284,9284,442,510
9285,9285,441,505
9286,9286,447,506
9287,9287,445,502
9288,9288,447,500
9289,9289,445,498
9290,9290,446,502
9291,9291,448,495
9292,9292,450,493
9293,9293,451,491
9294,9294,451,490
9295,9295,458,494
9296,9296,457,489
9297,9297,458,489
9298,9298,456,486
9299,9299,458,484
9300,9300,455,482
9301,9301,456,480
9302,9302,454,479
9303,9303,456,474
9304,9304,458,471
9305,9305,460,470
9306,9306,462,467
9307,9307,466,468
9308,9308,469,471
9309,9309,472,475
9310,9310,478,477
9311,9311,482,477
9312,9312,486,482
9313,9313,490,482
9314,9314,494,484
9315,9315,499,483
9316,9316,501,485
9317,9317,504,482
9318,9318,510,481
9319,9319,514,478
9320,9320,513,476
9321,9321,521,474
9322,9322,522,472
9323,9323,521,471
9324,9324,520,471
9325,9325,520,475
9326,9326,518,478
9327,9327,515,475
9328,9328,511,483
9329,9329,510,487
9330,9330,511,487
9331,9331,506,490
9332,9332,502,491
9333,9333,500,492
9334,9334,501,494
9335,9335,499,495
9336,9336,503,495
9337,9337,506,495
9338,9338,507,499
9339,9339,508,499
9340,9340,511,499
9341,9341,507,499
9342,9342,514,499
9343,9343,514,498
9344,9344,515,494
9345,9345,513,483
