A,B
451,586
438,583
428,582
420,577
418,571
416,562
420,551
426,537
441,526
443,507
442,500
445,491
438,487
434,486
427,486
420,496
420,492
422,495
425,499
431,499
438,498
444,504
454,503
454,502
460,505
468,505
477,507
488,508
499,506
500,506
501,503
498,502
498,500
495,490
493,492
490,483
487,476
487,470
493,463
484,460
482,457
486,453
491,453
495,454
500,461
505,471
511,485
518,502
526,518
533,534
538,545
548,550
545,557
544,556
542,551
540,541
536,529
535,513
531,500
530,485
527,471
523,463
520,454
521,443
512,440
504,436
502,436
495,433
488,437
482,439
475,438
477,436
466,433
465,427
464,422
463,418
464,415
459,412
468,412
470,412
475,412
476,413
480,415
482,415
484,419
486,419
489,418
499,418
489,418
487,424
482,434
478,444
475,459
474,472
475,483
480,489
488,493
497,493
505,493
512,489
517,491
522,490
524,490
527,490
530,494
533,499
538,503
542,512
548,518
550,523
553,526
556,523
556,520
556,524
557,521
549,525
552,523
547,520
537,523
527,526
514,531
502,535
488,539
476,544
473,546
473,550
475,556
487,555
499,558
510,560
519,563
528,566
534,566
541,567
545,566
547,563
549,559
549,563
551,551
553,547
554,540
557,534
556,527
554,523
552,520
547,521
546,524
546,532
546,543
552,558
556,572
562,585
565,596
570,602
573,607
576,611
588,608
582,610
580,610
578,612
573,614
567,613
561,614
557,613
551,609
547,605
541,599
530,598
525,589
511,580
500,579
486,576
472,573
460,570
451,566
446,559
443,550
444,540
448,528
455,520
465,514
474,510
486,509
496,508
501,507
511,505
520,502
528,496
534,490
537,484
535,477
531,469
527,459
521,452
511,444
504,439
497,434
488,431
488,437
475,441
470,446
466,451
463,457
463,459
463,458
463,452
463,443
461,431
460,419
460,411
461,409
464,414
473,432
478,441
484,458
492,471
496,482
504,490
506,489
505,487
502,487
495,486
489,485
483,489
482,494
484,501
490,510
499,516
510,522
519,525
526,524
531,520
534,514
536,502
535,487
530,469
536,450
536,431
540,416
547,407
544,394
548,387
556,382
553,376
552,370
546,364
539,359
532,355
522,353
517,349
521,351
512,351
514,359
518,371
520,389
521,411
522,438
523,461
524,475
526,493
528,499
531,503
532,505
532,508
530,515
528,523
524,528
519,543
514,554
512,565
513,577
514,588
513,598
514,606
520,611
518,619
516,629
511,629
506,643
498,649
491,655
486,656
484,657
485,654
490,648
493,642
500,634
505,628
508,619
512,612
514,606
515,599
512,596
515,587
514,582
511,580
510,571
510,568
513,563
516,558
520,550
523,542
526,532
528,522
528,515
528,511
531,507
534,508
544,512
541,517
543,522
546,528
545,535
544,543
540,549
539,555
534,558
534,559
533,555
530,556
540,541
531,531
533,521
529,510
525,502
518,497
509,495
499,499
491,506
478,515
473,525
465,535
459,543
456,548
453,546
452,538
450,527
456,517
460,503
463,495
458,493
460,491
462,491
465,494
469,496
472,498
474,496
469,494
475,490
474,482
474,474
475,469
480,465
483,462
489,462
496,464
504,470
510,473
518,477
523,483
527,487
530,491
528,495
528,499
524,501
519,502
513,503
509,507
506,507
505,507
505,512
508,512
514,520
520,526
531,529
540,532
548,532
556,529
562,525
568,521
575,518
579,517
581,515
584,512
586,513
586,514
584,517
580,528
579,528
574,537
573,549
571,559
568,569
562,581
558,589
556,595
548,596
551,596
541,591
539,587
536,581
535,574
536,568
537,562
536,560
532,557
529,557
524,555
518,563
510,552
505,558
497,560
491,561
483,561
480,558
477,556
479,549
483,542
490,533
495,523
499,512
502,501
501,492
500,482
500,471
502,463
499,451
500,439
501,427
500,417
496,407
497,395
486,391
480,384
473,382
469,374
462,370
461,371
457,370
460,371
462,371
464,372
465,377
465,384
466,390
462,400
461,405
459,416
458,417
458,415
462,413
468,411
478,414
490,422
500,432
507,447
511,461
513,471
515,479
516,489
515,502
516,514
519,530
515,550
512,567
513,582
511,594
510,606
509,605
510,617
511,620
511,620
514,618
516,612
520,604
522,595
524,583
526,574
528,565
528,556
529,549
528,543
524,529
520,528
513,523
506,519
504,518
496,519
492,522
496,529
492,524
495,523
499,519
504,517
505,515
508,513
511,512
506,520
509,516
508,518
509,518
510,519
509,519
508,519
504,516
501,520
498,523
499,532
489,534
484,538
481,545
476,535
472,530
466,520
461,508
457,499
456,490
458,485
460,482
464,477
467,476
469,475
470,474
465,473
463,472
461,472
462,470
469,471
470,471
474,472
484,470
494,469
504,468
510,468
516,470
514,472
520,475
518,481
517,486
509,487
504,498
499,503
492,512
490,515
492,518
496,519
496,522
508,522
513,526
517,530
522,532
526,536
530,539
536,542
541,540
549,538
553,537
560,534
562,527
565,527
569,527
568,526
565,527
564,527
563,524
561,519
560,513
560,506
560,499
560,493
560,486
560,479
557,470
554,461
552,453
549,447
551,444
557,450
561,448
568,457
574,460
572,470
566,475
556,485
542,492
528,499
514,507
503,516
496,524
486,526
479,533
472,538
465,532
460,544
458,547
456,547
456,547
458,546
457,543
457,547
454,549
456,558
456,567
457,572
462,579
461,584
460,585
456,601
450,607
444,613
440,619
437,619
439,615
445,607
453,599
464,591
474,582
487,573
496,569
505,543
508,537
510,525
510,518
505,512
504,510
498,507
496,502
495,498
495,492
497,483
501,473
504,468
507,463
508,462
504,465
506,469
507,473
509,476
514,477
520,479
530,479
540,481
545,484
552,489
550,495
548,501
546,508
543,512
544,512
544,507
552,503
554,497
561,491
565,488
569,488
570,492
570,499
570,507
568,518
560,526
552,532
541,535
529,537
523,536
520,534
520,527
522,529
527,526
528,526
528,527
526,526
523,524
517,522
510,524
505,514
502,511
499,505
500,500
502,493
507,483
512,473
515,462
520,451
522,436
523,431
523,427
520,425
513,428
508,432
501,438
496,457
496,460
498,470
501,479
505,486
509,491
511,495
508,495
511,499
514,502
514,506
514,509
511,510
511,510
508,509
507,503
504,499
502,495
501,493
503,493
503,495
504,500
504,506
504,513
502,520
502,525
500,527
498,526
500,520
494,519
490,512
488,512
489,512
488,512
489,514
490,518
492,518
494,514
495,516
496,512
497,509
498,506
498,506
500,507
498,516
505,514
508,515
517,514
512,512
509,508
511,505
515,499
505,495
504,490
505,487
508,487
512,482
516,489
517,490
517,500
518,497
516,499
518,496
519,499
522,492
524,485
528,479
526,473
525,473
523,476
516,483
514,496
511,511
511,527
513,543
516,554
521,563
521,568
524,569
527,566
526,559
528,548
530,536
533,518
538,499
527,485
523,471
516,462
505,457
492,454
480,457
